run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,GM12878,0,0.048938125334303785,0.9982025623321533,0.9978427290916443,0.992383599281311,0.999957263469696,0.9998105764389038,0.9951056838035583,0.9980629682540894,0.9982832670211792,0.0021572646219283342,0.0017167589394375682,0.9940105080604553
test,active_enhancers_vs_inactive_enhancers,GM12878,0,0.955769522190094,0.7627399563789368,0.12251941114664078,0.2266560196876526,0.5412564277648926,0.20554450154304504,0.1590590924024582,0.5143982768058777,0.9062771797180176,0.8774805665016174,0.09372279793024063,0.037293512374162674
train,active_enhancers_vs_inactive_enhancers,GM12878,1,0.06534100751006844,0.9948447346687317,0.9793981313705444,0.9923497438430786,0.9997945427894592,0.9990296363830566,0.9858313798904419,0.9888527393341064,0.9983074069023132,0.020601876080036163,0.0016925792442634702,0.9827123880386353
test,active_enhancers_vs_inactive_enhancers,GM12878,1,0.9389150953292846,0.775539219379425,0.10396894067525864,0.23980098962783813,0.5354667901992798,0.20642802119255066,0.14504964649677277,0.5150370001792908,0.9261050224304199,0.8960310816764832,0.07389496266841888,0.043023284524679184
train,active_enhancers_vs_inactive_enhancers,GM12878,2,0.08204548203884954,0.9915856719017029,0.9690432548522949,0.9847638010978699,0.9992252588272095,0.9955807328224182,0.9768402576446533,0.9828411340713501,0.9966390132904053,0.030956747010350227,0.0033609787933528423,0.971746563911438
test,active_enhancers_vs_inactive_enhancers,GM12878,2,0.844679251909256,0.7828079462051392,0.07506471127271652,0.22336328029632568,0.5243632793426514,0.20110364258289337,0.11236680299043655,0.5082741975784302,0.9414836764335632,0.9249352812767029,0.05851629748940468,0.02663250081241131
train,active_enhancers_vs_inactive_enhancers,GM12878,3,0.06054037218593588,0.9972149729728699,0.9928810000419617,0.9919180870056152,0.9999037981033325,0.9994889497756958,0.9923993349075317,0.9955337643623352,0.9981865286827087,0.007118972949683666,0.0018134777201339602,0.9906946420669556
test,active_enhancers_vs_inactive_enhancers,GM12878,3,0.904543218612671,0.774354100227356,0.1289905160665512,0.2632042169570923,0.5474957227706909,0.2131202667951584,0.17313259840011597,0.5240174531936646,0.9190443754196167,0.8710094690322876,0.08095560222864151,0.06500079482793808
train,active_enhancers_vs_inactive_enhancers,GM12878,4,0.07178352267076873,0.9942917227745056,0.9791824221611023,0.9895356297492981,0.9997314810752869,0.9986827373504639,0.9843317866325378,0.9884306192398071,0.9976787567138672,0.020817603915929794,0.0023212514352053404,0.9808623194694519
test,active_enhancers_vs_inactive_enhancers,GM12878,4,0.8258393704891205,0.7816228270530701,0.08973252773284912,0.24129930138587952,0.5517098903656006,0.21420148015022278,0.13081760704517365,0.5132384300231934,0.9367443919181824,0.9102674722671509,0.06325563043355942,0.04064998775720596
train,active_enhancers_vs_inactive_enhancers,GM12878,5,0.06292386104663213,0.9967409372329712,0.9928810000419617,0.989359438419342,0.9998326301574707,0.9990479350090027,0.9911171197891235,0.9952436089515686,0.9976062178611755,0.007118972949683666,0.002393790753558278,0.9891238808631897
test,active_enhancers_vs_inactive_enhancers,GM12878,5,0.8297612285614013,0.77032470703125,0.12251941114664078,0.24546240270137787,0.5567610859870911,0.21346133947372437,0.16345323622226715,0.5190409421920776,0.9155624508857727,0.8774805665016174,0.08443756401538849,0.05110911279916763
train,active_enhancers_vs_inactive_enhancers,GM12878,6,0.051886226492698743,0.9980248212814331,0.9959012269973755,0.9933297634124756,0.9999414682388306,0.999690055847168,0.9946138262748718,0.9972010850906372,0.9985008835792542,0.004098802804946899,0.0014991415664553642,0.9934057593345642
test,active_enhancers_vs_inactive_enhancers,GM12878,6,0.9001852405071259,0.7625819444656372,0.11044003814458847,0.21351125836372375,0.5380644202232361,0.20248191058635712,0.14557862281799316,0.5096160173416138,0.9087919592857361,0.8895599842071533,0.09120804816484451,0.025401310995221138
train,active_enhancers_vs_inactive_enhancers,GM12878,7,0.055895971115490405,0.9971754550933838,0.9898608326911926,0.9946889281272888,0.9999104142189026,0.9995467662811279,0.9922690391540527,0.9943380355834961,0.9988151788711548,0.010139144025743008,0.00118480552919209,0.9905455112457275
test,active_enhancers_vs_inactive_enhancers,GM12878,7,0.9332166242599488,0.778699517250061,0.10353752970695496,0.24922119081020355,0.5394473671913147,0.20999033749103546,0.14629685878753662,0.516804039478302,0.9300705790519714,0.8964624404907227,0.06992939114570618,0.049028180539608
train,active_enhancers_vs_inactive_enhancers,GM12878,8,0.06767576485119685,0.9962471127510071,0.9877036213874817,0.9917686581611633,0.9998496174812317,0.9992309212684631,0.9897319674491882,0.9929329752922058,0.9981623291969299,0.012296408414840698,0.0018376574153080583,0.987438976764679
test,active_enhancers_vs_inactive_enhancers,GM12878,8,0.8467594122886658,0.7704037427902222,0.09836065769195557,0.2183908075094223,0.5381887555122375,0.2058107554912567,0.13563355803489685,0.5097180604934692,0.9210755228996277,0.9016393423080444,0.07892446219921112,0.027326546609401703
train,active_enhancers_vs_inactive_enhancers,GM12878,9,0.053816552828959745,0.9969186782836914,0.9877036213874817,0.9954342842102051,0.9999170899391174,0.999595582485199,0.9915538430213928,0.9933440685272217,0.9989844560623169,0.012296408414840698,0.001015547546558082,0.9896807074546814
test,active_enhancers_vs_inactive_enhancers,GM12878,9,0.9180430114269257,0.7779094576835632,0.10396894067525864,0.24717949330806732,0.5454728603363037,0.21441949903964996,0.14637109637260437,0.5164878368377686,0.9290066957473755,0.8960310816764832,0.0709933266043663,0.04783303663134575
train,active_promoters_vs_inactive_promoters,GM12878,0,0.07238175678319825,0.9912520051002502,0.9625077843666077,0.974923312664032,0.9989669322967529,0.9917192459106445,0.9686757922172546,0.9792298674583435,0.9959519505500793,0.03749220818281174,0.004048052243888378,0.963618814945221
test,active_promoters_vs_inactive_promoters,GM12878,0,0.6444780792616591,0.8396155834197998,0.1368008553981781,0.32961374521255493,0.6326726078987122,0.2297382652759552,0.19335347414016724,0.5456572771072388,0.954513669013977,0.8631991744041443,0.04548631235957146,0.1354147046804428
train,active_promoters_vs_inactive_promoters,GM12878,1,0.084735958232952,0.9918652176856995,0.994389533996582,0.9500553011894226,0.9993501305580139,0.9938267469406128,0.9717170000076294,0.992920994758606,0.9914525151252747,0.005610472988337278,0.008547506295144558,0.9673122763633728
test,active_promoters_vs_inactive_promoters,GM12878,1,0.5735317676127711,0.8107823729515076,0.18916992843151093,0.26093366742134094,0.6441099643707275,0.22025412321090698,0.21933086216449738,0.550787627696991,0.9124053716659546,0.8108300566673279,0.0875946432352066,0.11670160293579102
train,active_promoters_vs_inactive_promoters,GM12878,2,0.06164587497377929,0.9914522171020508,0.9498619437217712,0.9888744950294495,0.9994672536849976,0.9956226348876953,0.9689757227897644,0.9740573167800903,0.9982526302337646,0.05013803392648697,0.0017473608022555709,0.9642838835716248
test,active_promoters_vs_inactive_promoters,GM12878,2,0.7081102152248915,0.8401161432266235,0.10687566548585892,0.3039513826370239,0.6273756623268127,0.21969139575958252,0.15814444422721863,0.5334320068359375,0.9599883556365967,0.8931243419647217,0.04001164808869362,0.10722048580646515
train,active_promoters_vs_inactive_promoters,GM12878,3,0.04976657261482824,0.997196614742279,0.9981298446655273,0.9822101593017578,0.9999164342880249,0.9992201924324036,0.9901059865951538,0.9975869655609131,0.997044026851654,0.0018701576627790928,0.0029559519607573748,0.9885164499282837
test,active_promoters_vs_inactive_promoters,GM12878,3,0.6260496921177152,0.8147870302200317,0.19629497826099396,0.27619048953056335,0.6468709111213684,0.22312889993190765,0.22948771715164185,0.5560973882675171,0.9158998131752014,0.8037050366401672,0.08410017192363739,0.13004349172115326
train,active_promoters_vs_inactive_promoters,GM12878,4,0.09052103142530774,0.9784866571426392,0.8768367767333984,0.9670006036758423,0.9977831840515137,0.9850128293037415,0.9197141528129578,0.9359720945358276,0.9951074123382568,0.12316323816776276,0.004892610013484955,0.9087764024734497
test,active_promoters_vs_inactive_promoters,GM12878,4,0.5594781591922422,0.8448715806007385,0.10153188556432724,0.3306264579296112,0.6530157923698425,0.241068035364151,0.15535567700862885,0.5339633822441101,0.9663949012756348,0.8984681367874146,0.033605124801397324,0.11617333441972733
train,active_promoters_vs_inactive_promoters,GM12878,5,0.057510294043979705,0.992678701877594,0.959568977355957,0.9879882335662842,0.99955153465271,0.9967269897460938,0.973571240901947,0.9788306951522827,0.9980924725532532,0.04043102636933327,0.0019075354794040322,0.9694622159004211
test,active_promoters_vs_inactive_promoters,GM12878,5,0.7092750268705378,0.843970537185669,0.11506947129964828,0.3378660976886749,0.6346744298934937,0.23454107344150543,0.1716715395450592,0.5391014218330383,0.9631333947181702,0.8849305510520935,0.036866627633571625,0.12731608748435974
train,active_promoters_vs_inactive_promoters,GM12878,6,0.0774325746150253,0.9920905232429504,0.9751536250114441,0.968769371509552,0.999055802822113,0.9931411743164062,0.9719510078430176,0.9850067496299744,0.9948598742485046,0.024846380576491356,0.005140152759850025,0.9673542380332947
test,active_promoters_vs_inactive_promoters,GM12878,6,0.5805643444197087,0.8317064642906189,0.1578197330236435,0.3074254095554352,0.6537867784500122,0.23717103898525238,0.20856873691082,0.5498475432395935,0.9418753385543823,0.8421802520751953,0.05812463536858559,0.1339183747768402
train,active_promoters_vs_inactive_promoters,GM12878,7,0.05813232993784423,0.9965083003044128,0.9916288256645203,0.9836572408676147,0.9997602105140686,0.9977174997329712,0.9876269698143005,0.9944674968719482,0.9973061680793762,0.008371181786060333,0.0026938477531075478,0.9856052398681641
test,active_promoters_vs_inactive_promoters,GM12878,7,0.6295546353617801,0.8278019428253174,0.1610260009765625,0.29407936334609985,0.6477377414703369,0.23104552924633026,0.20810313522815704,0.5489171743392944,0.9368084073066711,0.8389739990234375,0.06319161504507065,0.12757939100265503
train,active_promoters_vs_inactive_promoters,GM12878,8,0.061955514366920005,0.9948188066482544,0.977736234664917,0.9852822422981262,0.9995911717414856,0.9965576529502869,0.9814947247505188,0.9876741170883179,0.997611939907074,0.02226378209888935,0.002388059627264738,0.9784922003746033
test,active_promoters_vs_inactive_promoters,GM12878,8,0.6333878926838501,0.8323572278022766,0.1432133913040161,0.2986626923084259,0.6451693177223206,0.22514104843139648,0.19359499216079712,0.5441168546676636,0.9450203776359558,0.8567866086959839,0.05497961491346359,0.12232088297605515
train,active_promoters_vs_inactive_promoters,GM12878,9,0.07788072287227019,0.9899004101753235,0.9525336027145386,0.9750227928161621,0.9988629221916199,0.9918785095214844,0.9636470079421997,0.9742718935012817,0.9960101842880249,0.04746638238430023,0.003989806864410639,0.9578713774681091
test,active_promoters_vs_inactive_promoters,GM12878,9,0.5818691410218613,0.8385142683982849,0.1246882826089859,0.3127792775630951,0.6507324576377869,0.23292255401611328,0.17829851806163788,0.539950430393219,0.9552125930786133,0.8753117322921753,0.044787418097257614,0.12075216323137283
train,active_enhancers_vs_active_promoters,GM12878,0,0.11154926885609273,0.9538048505783081,0.9168224930763245,0.9987388253211975,0.9964845180511475,0.9972655773162842,0.9560291767120361,0.9577101469039917,0.9985978007316589,0.08317748457193375,0.0014022219693288207,0.9112497568130493
test,active_enhancers_vs_active_promoters,GM12878,0,0.6820130433355059,0.7978536486625671,0.7142857313156128,0.8954890370368958,0.8859856724739075,0.9025110006332397,0.794688880443573,0.8066682815551758,0.8990508913993835,0.2857142984867096,0.10094909369945526,0.6154625415802002
train,active_enhancers_vs_active_promoters,GM12878,1,0.1286208525667956,0.9632682800292969,0.9680292010307312,0.9650213122367859,0.992308497428894,0.9945856332778931,0.9665229320526123,0.9627655744552612,0.9575018882751465,0.0319707915186882,0.042498111724853516,0.9258413314819336
test,active_enhancers_vs_active_promoters,GM12878,1,0.5351324691658929,0.8253658413887024,0.8788742423057556,0.8163467645645142,0.8959939479827881,0.8973896503448486,0.8464573621749878,0.8197218179702759,0.7605694532394409,0.12112575769424438,0.23943054676055908,0.6470134854316711
train,active_enhancers_vs_active_promoters,GM12878,2,0.10045647069259926,0.9767804741859436,0.9658918976783752,0.9914982914924622,0.9893874526023865,0.9939303398132324,0.9785276055335999,0.9779303073883057,0.9899687170982361,0.03410811349749565,0.010031280107796192,0.9536476731300354
test,active_enhancers_vs_active_promoters,GM12878,2,0.5132995560055688,0.8321951031684875,0.8297114372253418,0.8590925931930542,0.8935183882713318,0.9058796763420105,0.8441464304924011,0.8324570655822754,0.8352027535438538,0.1702885627746582,0.16479723155498505,0.6629948019981384
train,active_enhancers_vs_active_promoters,GM12878,3,0.10752460351328791,0.9598536491394043,0.9453201293945312,0.9806910753250122,0.9941478967666626,0.9953372478485107,0.9626808166503906,0.961388349533081,0.9774565696716309,0.05467984825372696,0.022543415427207947,0.9200016856193542
test,active_enhancers_vs_active_promoters,GM12878,3,0.5005910481725421,0.8277072906494141,0.8086925745010376,0.8677369952201843,0.9000704884529114,0.9087711572647095,0.8371750116348267,0.829712986946106,0.8507333993911743,0.1913074404001236,0.14926661550998688,0.656560480594635
train,active_enhancers_vs_active_promoters,GM12878,4,0.2389201436329771,0.9020975828170776,0.8268768191337585,0.9932605624198914,0.9801469445228577,0.9855353236198425,0.9024639129638672,0.9100407361984253,0.9932045936584473,0.17312316596508026,0.006795383524149656,0.8195115923881531
test,active_enhancers_vs_active_promoters,GM12878,4,0.7297435913767133,0.7777560949325562,0.6832917928695679,0.8846863508224487,0.8655092120170593,0.8830490708351135,0.771055281162262,0.7877200841903687,0.8921483755111694,0.3167082369327545,0.10785159468650818,0.5797260403633118
train,active_enhancers_vs_active_promoters,GM12878,5,0.14576506541099077,0.9613170623779297,0.9646450877189636,0.9647310376167297,0.9829859137535095,0.9900624752044678,0.9646880626678467,0.960965633392334,0.9572861790657043,0.03535488620400429,0.04271383956074715,0.9219225645065308
test,active_enhancers_vs_active_promoters,GM12878,5,0.5285793791214625,0.8275122046470642,0.8660491704940796,0.8271520733833313,0.8934103846549988,0.8997544050216675,0.8461538553237915,0.8234473466873169,0.780845582485199,0.1339508444070816,0.2191544473171234,0.6510084271430969
train,active_enhancers_vs_active_promoters,GM12878,6,0.08310869968507761,0.9764389991760254,0.9657137989997864,0.9910436868667603,0.9966761469841003,0.9975221157073975,0.9782148003578186,0.9775716066360474,0.9894294142723083,0.034286223351955414,0.010570596903562546,0.9529507160186768
test,active_enhancers_vs_active_promoters,GM12878,6,0.5012890214011783,0.8316097855567932,0.826505184173584,0.860534131526947,0.9044081568717957,0.9141926765441895,0.8431764245033264,0.8321481943130493,0.8377912044525146,0.1734948307275772,0.16220879554748535,0.6621648073196411
train,active_enhancers_vs_active_promoters,GM12878,7,0.08230823931502707,0.9762926697731018,0.9592127799987793,0.9974071383476257,0.997766375541687,0.9982442855834961,0.9779371619224548,0.9780963063240051,0.996979832649231,0.04078724607825279,0.0030201703775674105,0.9531893134117126
test,active_enhancers_vs_active_promoters,GM12878,7,0.5454617951597486,0.8360975384712219,0.8329176902770996,0.8630490899085999,0.9041272401809692,0.9141926169395447,0.8477157354354858,0.836432933807373,0.8399482369422913,0.1670822948217392,0.16005176305770874,0.6708933711051941
train,active_enhancers_vs_active_promoters,GM12878,8,0.07576624253465805,0.9667804837226868,0.9425594210624695,0.996610164642334,0.9973509907722473,0.9978662729263306,0.9688315391540527,0.9693381786346436,0.9961169362068176,0.05744055658578873,0.0038830763660371304,0.9349942803382874
