run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,HEK293,0,0.018319993199912284,0.9993679523468018,0.9941674470901489,0.9998108148574829,0.9999987483024597,0.9999901056289673,0.996981143951416,0.997072696685791,0.9999779462814331,0.005832549184560776,2.2068721591494977e-05,0.9966331124305725
test,active_enhancers_vs_inactive_enhancers,HEK293,0,0.8643844783306122,0.8821995854377747,0.023325808346271515,0.1383928507566452,0.5218794345855713,0.11741939187049866,0.03992272913455963,0.5031442046165466,0.9829625487327576,0.9766741991043091,0.01703742891550064,0.014620622619986534
train,active_enhancers_vs_inactive_enhancers,HEK293,1,0.02110590807848958,0.9988741278648376,0.9896519184112549,0.9996199011802673,0.9999960660934448,0.9999667406082153,0.9946109652519226,0.9948039054870605,0.9999558329582214,0.010348071344196796,4.4137443182989955e-05,0.9939979314804077
test,active_enhancers_vs_inactive_enhancers,HEK293,1,0.8265908741950989,0.8804613947868347,0.03235515579581261,0.15925925970077515,0.5270299911499023,0.12037245184183121,0.053783614188432693,0.506158173084259,0.9799611568450928,0.9676448702812195,0.020038841292262077,0.026130929589271545
train,active_enhancers_vs_inactive_enhancers,HEK293,2,0.018571722024882383,0.9998419880867004,0.9988711476325989,0.9996234178543091,0.9999996423721313,0.999996542930603,0.999247133731842,0.9994134902954102,0.9999558329582214,0.0011288805399090052,4.4137443182989955e-05,0.9991589188575745
test,active_enhancers_vs_inactive_enhancers,HEK293,2,0.8213691502809525,0.8742197751998901,0.05568096414208412,0.18004865944385529,0.5324379205703735,0.12505106627941132,0.08505747467279434,0.5129658579826355,0.9702507257461548,0.9443190097808838,0.029749292880296707,0.04484887421131134
train,active_enhancers_vs_inactive_enhancers,HEK293,3,0.017317348366810217,0.9997432231903076,0.99811851978302,0.9994348287582397,0.9999977350234985,0.9999814629554749,0.9987762570381165,0.9990261793136597,0.9999337792396545,0.0018814675277099013,6.620616477448493e-05,0.9986330270767212
test,active_enhancers_vs_inactive_enhancers,HEK293,3,0.8386648434400559,0.8724026083946228,0.045146726071834564,0.14778324961662292,0.533150851726532,0.12100007385015488,0.06916426867246628,0.5073014497756958,0.9694561958312988,0.9548532962799072,0.03054378554224968,0.025405671447515488
train,active_enhancers_vs_inactive_enhancers,HEK293,4,0.04473986268758473,0.9958521127700806,0.9674506187438965,0.9928557872772217,0.9997863173484802,0.9973857998847961,0.9799885749816895,0.9833170175552368,0.9991834759712219,0.03254938870668411,0.0008165427134372294,0.9777774214744568
test,active_enhancers_vs_inactive_enhancers,HEK293,4,0.6975312912464142,0.8791182637214661,0.03235515579581261,0.149825781583786,0.5294939875602722,0.11681792885065079,0.053217820823192596,0.5054078102111816,0.978460431098938,0.9676448702812195,0.02153954841196537,0.022272255271673203
train,active_enhancers_vs_inactive_enhancers,HEK293,5,0.02522197858232892,0.9985383749008179,0.9873941540718079,0.9986679553985596,0.9999863505363464,0.999886155128479,0.9929990768432617,0.9936197996139526,0.9998455047607422,0.012605832889676094,0.00015448105114046484,0.9922030568122864
test,active_enhancers_vs_inactive_enhancers,HEK293,5,0.7968120920658112,0.8815675377845764,0.0391271635890007,0.18978102505207062,0.5417957901954651,0.12855340540409088,0.06487835198640823,0.5097648501396179,0.9804025292396545,0.9608728289604187,0.019597457721829414,0.04113832488656044
train,active_enhancers_vs_inactive_enhancers,HEK293,6,0.02645290961884188,0.9990716576576233,0.9934148788452148,0.997732400894165,0.9999905824661255,0.9999212622642517,0.9955689907073975,0.9965749979019165,0.9997351765632629,0.006585136521607637,0.00026482465909793973,0.9950534701347351
test,active_enhancers_vs_inactive_enhancers,HEK293,6,0.7852590775489807,0.8752468824386597,0.03611738234758377,0.1387283205986023,0.522296130657196,0.11560618132352829,0.057313431054353714,0.5049054622650146,0.9736934900283813,0.9638826251029968,0.026306496933102608,0.01844431646168232
train,active_enhancers_vs_inactive_enhancers,HEK293,7,0.02063156295135015,0.9995654821395874,0.9960489273071289,0.9998111128807068,0.9999984502792358,0.9999872446060181,0.9979264736175537,0.998013436794281,0.9999779462814331,0.00395108200609684,2.2068721591494977e-05,0.9976860880851746
test,active_enhancers_vs_inactive_enhancers,HEK293,7,0.7795949620008469,0.8802244067192078,0.048156507313251495,0.20317460596561432,0.5428818464279175,0.13453605771064758,0.07785888016223907,0.5129995346069336,0.9778425097465515,0.9518435001373291,0.022157486528158188,0.05116206780076027
