run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,HepG2,0,0.025429325695667002,0.9986371397972107,0.9892023801803589,0.9987691044807434,0.9999830722808838,0.9998655915260315,0.9939627051353455,0.9945232272148132,0.9998440742492676,0.010797631926834583,0.00015595063450746238,0.993209183216095
test,active_enhancers_vs_inactive_enhancers,HepG2,0,0.8172645592689514,0.8701114058494568,0.05087108165025711,0.20563380420207977,0.5439966320991516,0.1439136266708374,0.08156424760818481,0.5128709673881531,0.9748708009719849,0.9491289258003235,0.025129210203886032,0.0494309701025486
train,active_enhancers_vs_inactive_enhancers,HepG2,1,0.02227864195263446,0.9988939166069031,0.9918146729469299,0.9984221458435059,0.999987781047821,0.9999092817306519,0.9951074719429016,0.9958070516586304,0.9997994899749756,0.008185300976037979,0.00020050795865245163,0.994490921497345
test,active_enhancers_vs_inactive_enhancers,HepG2,1,0.8530825293064117,0.8658449649810791,0.052961673587560654,0.18313252925872803,0.5484461784362793,0.13897384703159332,0.08216216415166855,0.5113765597343445,0.9697914719581604,0.9470383524894714,0.030208518728613853,0.04050908610224724
train,active_enhancers_vs_inactive_enhancers,HepG2,2,0.021921675078420327,0.9995654821395874,0.9987809062004089,0.9973912835121155,0.9999970197677612,0.9999754428863525,0.998085618019104,0.9992233514785767,0.9996657967567444,0.001219087396748364,0.0003341799310874194,0.9978407621383667
test,active_enhancers_vs_inactive_enhancers,HepG2,2,0.7742240059375763,0.8573911786079407,0.08013937622308731,0.19166666269302368,0.5530365705490112,0.1408417522907257,0.11302211135625839,0.5184603333473206,0.9567813277244568,0.9198606014251709,0.04321867600083351,0.05508529767394066
train,active_enhancers_vs_inactive_enhancers,HepG2,3,0.01708156991317266,0.9998024702072144,0.9989550709724426,0.9993031620979309,0.9999882578849792,0.999878466129303,0.999129056930542,0.9994329810142517,0.9999108910560608,0.0010449320543557405,8.91146482899785e-05,0.9990177750587463
test,active_enhancers_vs_inactive_enhancers,HepG2,3,0.9103489208221436,0.8624476790428162,0.06341463327407837,0.18647541105747223,0.5485712885856628,0.13784727454185486,0.09464378654956818,0.5140188336372375,0.9646230340003967,0.9365853667259216,0.03537693992257118,0.04617065563797951
train,active_enhancers_vs_inactive_enhancers,HepG2,4,0.022714091384915088,0.9996049404144287,0.9973876476287842,0.9991276860237122,0.999998152256012,0.9999853372573853,0.9982569217681885,0.9986381530761719,0.9998885989189148,0.002612330252304673,0.00011139331036247313,0.998034656047821
test,active_enhancers_vs_inactive_enhancers,HepG2,4,0.7269630247354507,0.868452250957489,0.05644599348306656,0.20663265883922577,0.5650421380996704,0.15090607106685638,0.08866994827985764,0.5143662691116333,0.972286581993103,0.9435539841651917,0.027713419869542122,0.05258462578058243
train,active_enhancers_vs_inactive_enhancers,HepG2,5,0.020905323505326354,0.999723494052887,0.998084306716919,0.9994767904281616,0.9999969601631165,0.9999769926071167,0.9987800717353821,0.9990087747573853,0.9999331831932068,0.0019157087663188577,6.683598621748388e-05,0.9986245036125183
test,active_enhancers_vs_inactive_enhancers,HepG2,5,0.8186189365386963,0.8663190603256226,0.0696864128112793,0.21881838142871857,0.5426101684570312,0.14398328959941864,0.10570824891328812,0.5189369916915894,0.9681875109672546,0.9303135871887207,0.03181251138448715,0.06436697393655777
train,active_enhancers_vs_inactive_enhancers,HepG2,6,0.02654755398668725,0.999091386795044,0.9937304258346558,0.9982505440711975,0.9999866485595703,0.9998956322669983,0.9959853291511536,0.9967538118362427,0.9997771978378296,0.006269592326134443,0.00022278662072494626,0.9954764246940613
test,active_enhancers_vs_inactive_enhancers,HepG2,6,0.7694187891483307,0.8672671318054199,0.07386759668588638,0.23194748163223267,0.5606298446655273,0.1552896946668625,0.11205074191093445,0.521294891834259,0.9687221646308899,0.9261323809623718,0.031277846544981,0.07238159328699112
train,active_enhancers_vs_inactive_enhancers,HepG2,7,0.05848625031384555,0.9935608506202698,0.9707419276237488,0.972435474395752,0.9990711212158203,0.9875808358192444,0.9715879559516907,0.983610987663269,0.9964799880981445,0.02925809845328331,0.003520028432831168,0.9679573774337769
test,active_enhancers_vs_inactive_enhancers,HepG2,7,0.6556685835123062,0.8607094883918762,0.061324041336774826,0.1746031790971756,0.5570594072341919,0.13860754668712616,0.09076843410730362,0.5121269822120667,0.9629299640655518,0.9386759400367737,0.03707003965973854,0.03932669386267662
train,active_enhancers_vs_inactive_enhancers,HepG2,8,0.046247758046545163,0.9951213002204895,0.9728317856788635,0.9839704036712646,0.9993749260902405,0.9913327693939209,0.9783693552017212,0.9854022264480591,0.9979726672172546,0.027168234810233116,0.0020273581612855196,0.9756401181221008
test,active_enhancers_vs_inactive_enhancers,HepG2,8,0.7489606434106827,0.8664770722389221,0.060627177357673645,0.20279720425605774,0.5586708784103394,0.1461513638496399,0.09334763884544373,0.51507568359375,0.9695241451263428,0.9393728375434875,0.030475851148366928,0.052827633917331696
train,active_enhancers_vs_inactive_enhancers,HepG2,9,0.02138861579199632,0.9995259642601013,0.9965168833732605,0.9993014335632324,0.999997079372406,0.9999784827232361,0.9979072213172913,0.9982138872146606,0.9999108910560608,0.0034831068478524685,8.91146482899785e-05,0.9976410865783691
