run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,K562,0,0.014341525324253422,0.999545693397522,0.9952477812767029,0.9995454549789429,0.9999988675117493,0.9999873638153076,0.9973919987678528,0.9976022243499756,0.9999567270278931,0.004752206150442362,4.3281612306600437e-05,0.9971458911895752
test,active_enhancers_vs_inactive_enhancers,K562,0,0.841413391828537,0.9010823965072632,0.012669683434069157,0.07999999821186066,0.5018333792686462,0.08823239803314209,0.02187499962747097,0.4993663430213928,0.9860630035400391,0.9873303174972534,0.013936980627477169,-0.0030635653529316187
train,active_enhancers_vs_inactive_enhancers,K562,1,0.014503534793891389,0.9990321397781372,0.988911509513855,1.0,0.9999988675117493,0.9999890327453613,0.9944248199462891,0.9944557547569275,1.0,0.011088481172919273,0.0,0.9939134120941162
test,active_enhancers_vs_inactive_enhancers,K562,1,0.8633266830444336,0.9067709445953369,0.020814480260014534,0.1900826394557953,0.5094348788261414,0.09268663823604584,0.0375203900039196,0.5061655640602112,0.991516649723053,0.9791855216026306,0.008483379147946835,0.0357716828584671
train,active_enhancers_vs_inactive_enhancers,K562,2,0.012197264771193567,0.9993284344673157,0.9925322532653809,0.9997720718383789,0.9999993443489075,0.9999940991401672,0.9961389899253845,0.9962552785873413,0.9999783635139465,0.007467752788215876,2.1640806153300218e-05,0.9957790970802307
test,active_enhancers_vs_inactive_enhancers,K562,2,0.9167356717586518,0.902504563331604,0.009954751469194889,0.07284767925739288,0.500495970249176,0.08735677599906921,0.01751592382788658,0.498917818069458,0.9878808856010437,0.9900452494621277,0.012119113467633724,-0.005627195816487074
train,active_enhancers_vs_inactive_enhancers,K562,3,0.014067639704944209,0.9992099404335022,0.9909482002258301,1.0,0.9999997615814209,0.9999977946281433,0.9954535365104675,0.995474100112915,1.0,0.009051822125911713,0.0,0.9950332641601562
test,active_enhancers_vs_inactive_enhancers,K562,3,0.8271892058849335,0.9036106467247009,0.009954751469194889,0.08029197156429291,0.5026583075523376,0.08699379116296768,0.017713366076350212,0.499523788690567,0.9890928268432617,0.9900452494621277,0.010907202027738094,-0.0025983040686696768
train,active_enhancers_vs_inactive_enhancers,K562,4,0.02260070492165408,0.9975705146789551,0.9723919630050659,0.9997673630714417,0.9999837875366211,0.9998491406440735,0.9858896136283875,0.9861851930618286,0.9999783635139465,0.027608055621385574,2.1640806153300218e-05,0.9846743941307068
test,active_enhancers_vs_inactive_enhancers,K562,4,0.7268830221891404,0.9052698016166687,0.019004525616765022,0.15441176295280457,0.5118879079818726,0.09356719255447388,0.03384367376565933,0.5045247673988342,0.9900450110435486,0.9809954762458801,0.009954986162483692,0.024776915088295937
train,active_enhancers_vs_inactive_enhancers,K562,5,0.0160244441017358,0.9992493987083435,0.9918533563613892,0.9995439052581787,0.9999986290931702,0.9999860525131226,0.9956837892532349,0.9959050416946411,0.9999567270278931,0.008146639913320541,4.3281612306600437e-05,0.9952816367149353
test,active_enhancers_vs_inactive_enhancers,K562,5,0.7374910640716553,0.9012404084205627,0.009954751469194889,0.06586826592683792,0.5128707885742188,0.08956409990787506,0.0172955971211195,0.49822530150413513,0.986495852470398,0.9900452494621277,0.013504154980182648,-0.008780630305409431
train,active_enhancers_vs_inactive_enhancers,K562,6,0.016513393500424696,0.9990124106407166,0.9891378283500671,0.9995426535606384,0.9999979734420776,0.9999783635139465,0.9943130016326904,0.9945472478866577,0.9999567270278931,0.01086218561977148,4.3281612306600437e-05,0.9937885403633118
test,active_enhancers_vs_inactive_enhancers,K562,6,0.7863000982999802,0.9020304679870605,0.015384615398943424,0.10059171915054321,0.5164299011230469,0.09480911493301392,0.02668759785592556,0.5011133551597595,0.9868420958518982,0.9846153855323792,0.01315789483487606,0.005476280115544796
train,active_enhancers_vs_inactive_enhancers,K562,7,0.031400210713271544,0.9932843446731567,0.9235121011734009,0.9995101690292358,0.9999148845672607,0.9989371299743652,0.9600093960762024,0.961734414100647,0.9999567270278931,0.07648789137601852,4.3281612306600437e-05,0.9572411179542542
test,active_enhancers_vs_inactive_enhancers,K562,7,0.679898418188095,0.9067709445953369,0.018099548295140266,0.17391304671764374,0.5133357048034668,0.0941547304391861,0.032786883413791656,0.5049379467964172,0.9917762875556946,0.9819004535675049,0.008223684504628181,0.02938004583120346
train,active_enhancers_vs_inactive_enhancers,K562,8,0.013537258022662365,0.9996247291564941,0.9963792562484741,0.9993191361427307,0.9999986290931702,0.999984622001648,0.9978470206260681,0.9981571435928345,0.9999350905418396,0.0036207286175340414,6.492241664091125e-05,0.9976427555084229
test,active_enhancers_vs_inactive_enhancers,K562,8,0.8082881534099579,0.8962629437446594,0.018099548295140266,0.08064515888690948,0.4964178800582886,0.08611135184764862,0.02956393174827099,0.4991813600063324,0.9802631735801697,0.9819004535675049,0.019736841320991516,-0.003334589069709182
train,active_enhancers_vs_inactive_enhancers,K562,9,0.01193894104646387,0.9998222589492798,0.9981896281242371,0.9997733235359192,0.9999998211860657,0.9999983906745911,0.9989808797836304,0.9990839958190918,0.9999783635139465,0.0018103643087670207,2.1640806153300218e-05,0.9988839030265808
test,active_enhancers_vs_inactive_enhancers,K562,9,0.7802951711416245,0.9008454084396362,0.018099548295140266,0.10526315867900848,0.5021623373031616,0.0899072214961052,0.0308880303055048,0.5016917586326599,0.9852839112281799,0.9819004535675049,0.014716066420078278,0.007854447700083256
train,active_promoters_vs_inactive_promoters,K562,0,0.054280876708678164,0.9958199858665466,0.9800379276275635,0.9865367412567139,0.9997026324272156,0.9972524642944336,0.9832766056060791,0.9890602827072144,0.9980825781822205,0.019962072372436523,0.0019174357876181602,0.9808950424194336
test,active_promoters_vs_inactive_promoters,K562,0,0.5847698963141139,0.8556339740753174,0.12614770233631134,0.3125618100166321,0.6648016571998596,0.22905941307544708,0.17974971234798431,0.5431848764419556,0.960222065448761,0.8738523125648499,0.039777930825948715,0.13048888742923737
train,active_promoters_vs_inactive_promoters,K562,1,0.06630223195630902,0.9923157691955566,0.9599760174751282,0.9783338308334351,0.9992550611495972,0.9937481880187988,0.9690679907798767,0.9784640669822693,0.9969521164894104,0.04002395272254944,0.00304786441847682,0.9647377133369446
test,active_promoters_vs_inactive_promoters,K562,1,0.5481578628473645,0.8535816073417664,0.12974052131175995,0.3037383258342743,0.6599637269973755,0.22634029388427734,0.1818181872367859,0.543550431728363,0.9573603272438049,0.8702594637870789,0.04263965040445328,0.12811337411403656
train,active_promoters_vs_inactive_promoters,K562,2,0.05255138762176227,0.9957824349403381,0.980337381362915,0.9859465956687927,0.999705970287323,0.9977368116378784,0.9831339716911316,0.9891670346260071,0.9979966878890991,0.01966264098882675,0.00200329115614295,0.9807290434837341
test,active_promoters_vs_inactive_promoters,K562,2,0.5694868426911438,0.8548831343650818,0.14930139482021332,0.32749563455581665,0.6683878302574158,0.2378482222557068,0.20510008931159973,0.5526726841926575,0.9560439586639404,0.8506985902786255,0.04395604506134987,0.15027083456516266
train,active_promoters_vs_inactive_promoters,K562,3,0.05369962324587682,0.995644748210907,0.9995009303092957,0.9668822884559631,0.9999418258666992,0.999498188495636,0.9829210638999939,0.9972964525222778,0.9950919151306152,0.0004990518209524453,0.0049080634489655495,0.9806032776832581
test,active_promoters_vs_inactive_promoters,K562,3,0.5507562858394429,0.8282524943351746,0.2403193563222885,0.2826291024684906,0.6789740920066833,0.23353353142738342,0.2597626745700836,0.5764325857162476,0.9125458002090454,0.7596806287765503,0.08745421469211578,0.1640254557132721
train,active_promoters_vs_inactive_promoters,K562,4,0.06894055603982542,0.9925661087036133,0.9963070154190063,0.9471486806869507,0.9994553327560425,0.9940143823623657,0.9711061120033264,0.9941684007644653,0.9920297861099243,0.003692983416840434,0.007970237173140049,0.9672511219978333
test,active_promoters_vs_inactive_promoters,K562,4,0.5555385188965858,0.8315562605857849,0.21477046608924866,0.2778925597667694,0.6622282266616821,0.21972844004631042,0.2422877699136734,0.5673783421516418,0.9199862480163574,0.7852295637130737,0.08001373708248138,0.15084907412528992
train,active_promoters_vs_inactive_promoters,K562,5,0.04775602178880201,0.9969838857650757,0.9884219765663147,0.9875348806381226,0.9998108744621277,0.9984409809112549,0.9879782795906067,0.993316650390625,0.9982113242149353,0.011578002013266087,0.0017886527348309755,0.9862539768218994
test,active_promoters_vs_inactive_promoters,K562,5,0.6042675768272786,0.8568854331970215,0.13732534646987915,0.3301343619823456,0.6588704586029053,0.23368138074874878,0.19396673142910004,0.5486878156661987,0.9600503444671631,0.8626746535301208,0.03994963318109512,0.14503049850463867
train,active_promoters_vs_inactive_promoters,K562,6,0.0720863281585538,0.9920529723167419,0.9961073994636536,0.9436460137367249,0.9994322657585144,0.9937622547149658,0.9691672921180725,0.993789553642273,0.9914717078208923,0.0038926040288060904,0.008528296835720539,0.965074896812439
test,active_promoters_vs_inactive_promoters,K562,6,0.5443250487876844,0.8308054208755493,0.21516965329647064,0.2759856581687927,0.6676207184791565,0.22094526886940002,0.24181246757507324,0.5671200752258301,0.9190705418586731,0.7848303318023682,0.08092948794364929,0.14968593418598175
