run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,MCF-7,0,0.00915620509403372,0.9999012351036072,0.9987274408340454,1.0,0.9999998807907104,0.9999995827674866,0.9993633031845093,0.9993637204170227,1.0,0.0012725885026156902,0.0,0.9993100166320801
test,active_enhancers_vs_inactive_enhancers,MCF-7,0,0.8273975920677185,0.9135656356811523,0.016293279826641083,0.1111111119389534,0.5245968699455261,0.08780312538146973,0.02841918356716633,0.5026648044586182,0.9890363812446594,0.9837067127227783,0.01096359733492136,0.013443844392895699
train,active_enhancers_vs_inactive_enhancers,MCF-7,1,0.017931646803826695,0.9991704225540161,0.9913464188575745,0.9979503154754639,0.9999879598617554,0.9998708963394165,0.9946373701095581,0.9955875873565674,0.9998286962509155,0.008653601631522179,0.0001713098754407838,0.9941942691802979
test,active_enhancers_vs_inactive_enhancers,MCF-7,1,0.671534429192543,0.9130915403366089,0.024439917877316475,0.14457830786705017,0.5337530970573425,0.09448516368865967,0.04181184619665146,0.5061385631561279,0.9878372550010681,0.9755600690841675,0.012162741273641586,0.028868889436125755
train,active_enhancers_vs_inactive_enhancers,MCF-7,2,0.025516342362294896,0.9988346099853516,0.9888012409210205,0.9961538314819336,0.9999318718910217,0.998496413230896,0.9924638867378235,0.9942400455474854,0.9996787905693054,0.011198778636753559,0.00032120602554641664,0.9918404221534729
test,active_enhancers_vs_inactive_enhancers,MCF-7,2,0.717193369269371,0.9146717190742493,0.01731160841882229,0.12878787517547607,0.5209541320800781,0.08587141335010529,0.030520645901560783,0.5037307739257812,0.9901499152183533,0.9826883673667908,0.00985010713338852,0.019648734480142593
train,active_enhancers_vs_inactive_enhancers,MCF-7,3,0.010630623999550337,0.9995654821395874,0.9946551322937012,0.999744176864624,0.9999893307685852,0.9998174905776978,0.9971931576728821,0.997316837310791,0.9999786019325256,0.005344871431589127,2.1413734430097975e-05,0.9969614744186401
test,active_enhancers_vs_inactive_enhancers,MCF-7,3,0.8054321718215942,0.9179110527038574,0.013238289393484592,0.15662650763988495,0.5166832208633423,0.08463112264871597,0.02441314607858658,0.5036212801933289,0.9940043091773987,0.9867616891860962,0.005995717365294695,0.024004971608519554
train,active_enhancers_vs_inactive_enhancers,MCF-7,4,0.01594399493846177,0.9996049404144287,0.9954186677932739,0.999488890171051,0.999998927116394,0.9999878406524658,0.9974496364593506,0.9976879358291626,0.9999571442604065,0.004581318236887455,4.282746886019595e-05,0.997238039970398
test,active_enhancers_vs_inactive_enhancers,MCF-7,4,0.6650604790449143,0.9092991948127747,0.020366597920656204,0.09708737581968307,0.5290166139602661,0.08759889006614685,0.033670034259557724,0.5022175312042236,0.9840685129165649,0.9796333909034729,0.015931477770209312,0.009376785717904568
train,active_enhancers_vs_inactive_enhancers,MCF-7,5,0.011235639739856876,0.9994667172431946,0.9933825135231018,0.9997438788414001,0.9999996423721313,0.9999961256980896,0.9965530633926392,0.9966805577278137,0.9999786019325256,0.006617459934204817,2.1413734430097975e-05,0.9962698817253113
test,active_enhancers_vs_inactive_enhancers,MCF-7,5,0.7348633873462677,0.9149877429008484,0.009164969436824322,0.0803571417927742,0.5302769541740417,0.08811423927545547,0.01645338162779808,0.5001713633537292,0.9911777377128601,0.9908350110054016,0.00882226973772049,0.0009789341129362583
train,active_enhancers_vs_inactive_enhancers,MCF-7,6,0.024472112485179394,0.9989531636238098,0.9872741103172302,0.9992272257804871,0.9999839663505554,0.9997605085372925,0.9932147264480591,0.9936048984527588,0.9999357461929321,0.012725884094834328,6.424120510928333e-05,0.9926687479019165
test,active_enhancers_vs_inactive_enhancers,MCF-7,6,0.6436050319671631,0.9168049097061157,0.016293279826641083,0.1553398072719574,0.5201820731163025,0.08758527040481567,0.029493087902665138,0.5044206976890564,0.9925481677055359,0.9837067127227783,0.007451820187270641,0.026326822116971016
train,active_enhancers_vs_inactive_enhancers,MCF-7,7,0.04221026143153207,0.9961681365966797,0.9595316648483276,0.9908015727996826,0.9997261166572571,0.9945341348648071,0.9749159812927246,0.9793910980224609,0.9992505311965942,0.04046831279993057,0.000749480735976249,0.9729887247085571
test,active_enhancers_vs_inactive_enhancers,MCF-7,7,0.547364439368248,0.9148297309875488,0.028513237833976746,0.18421052396297455,0.5308454036712646,0.0926467627286911,0.04938271641731262,0.5089461207389832,0.9893789887428284,0.9714867472648621,0.010620985180139542,0.04394258186221123
train,active_enhancers_vs_inactive_enhancers,MCF-7,8,0.013391406625753851,0.9996444582939148,0.9969457983970642,0.9984705448150635,0.9999983310699463,0.9999811053276062,0.9977076053619385,0.9984086751937866,0.9998714923858643,0.003054212313145399,0.00012848241021856666,0.9975152611732483
test,active_enhancers_vs_inactive_enhancers,MCF-7,8,0.7390473693609237,0.9134076237678528,0.019348269328475,0.125,0.5324759483337402,0.08995942771434784,0.03350970149040222,0.5039781928062439,0.9886081218719482,0.9806517362594604,0.011391863226890564,0.019540581852197647
train,active_enhancers_vs_inactive_enhancers,MCF-7,9,0.012330177491718922,0.9993481636047363,0.9916009306907654,1.0,0.9999987483024597,0.9999862313270569,0.995782732963562,0.9958004951477051,1.0,0.008399083279073238,0.0,0.9954398274421692
test,active_enhancers_vs_inactive_enhancers,MCF-7,9,0.7896800309419632,0.9133285880088806,0.007128309458494186,0.05426356568932533,0.518582820892334,0.08334588259458542,0.012601260095834732,0.49833929538726807,0.9895502924919128,0.9928717017173767,0.010449678637087345,-0.00884638074785471
train,active_promoters_vs_inactive_promoters,MCF-7,0,0.049401577847739,0.993379533290863,0.9549522995948792,0.992740273475647,0.9997663497924805,0.9983454942703247,0.9734797477722168,0.9769670963287354,0.9989818930625916,0.04504770413041115,0.0010181108955293894,0.9699373841285706
test,active_promoters_vs_inactive_promoters,MCF-7,0,0.5753128924701787,0.8601891994476318,0.11290322244167328,0.3478787839412689,0.6721542477607727,0.23944374918937683,0.17047816514968872,0.5410228967666626,0.9691425561904907,0.8870967626571655,0.030857469886541367,0.13741078972816467
train,active_promoters_vs_inactive_promoters,MCF-7,1,0.0656405696139549,0.9907013177871704,0.943936288356781,0.9822927117347717,0.999361515045166,0.9952591061592102,0.9627326130867004,0.970727801322937,0.9975192546844482,0.056063733994960785,0.0024807490408420563,0.9576707482337952
test,active_promoters_vs_inactive_promoters,MCF-7,1,0.5098161474813389,0.85573410987854,0.11290322244167328,0.3140043616294861,0.688127338886261,0.2351519614458084,0.16608797013759613,0.5384705066680908,0.9640378355979919,0.8870967626571655,0.035962145775556564,0.12271235883235931
train,active_promoters_vs_inactive_promoters,MCF-7,2,0.0999331893488622,0.9863836765289307,0.9778695702552795,0.9201295971870422,0.9965116381645203,0.9576655626296997,0.9481213092803955,0.9827472567558289,0.9876249432563782,0.022130422294139862,0.012375066056847572,0.9408698678016663
test,active_promoters_vs_inactive_promoters,MCF-7,2,0.499482525300376,0.8431195616722107,0.18095988035202026,0.30423280596733093,0.6822868585586548,0.23201251029968262,0.22693635523319244,0.5603107213973999,0.9396616220474243,0.8190401196479797,0.060338400304317474,0.15197522938251495
train,active_promoters_vs_inactive_promoters,MCF-7,3,0.04085965718205173,0.9952943325042725,0.9676403999328613,0.9952453374862671,0.9998951554298401,0.9992345571517944,0.9812487363815308,0.9834831953048706,0.9993260502815247,0.03235959634184837,0.0006739607197232544,0.9786855578422546
test,active_promoters_vs_inactive_promoters,MCF-7,3,0.5768330968633483,0.8613405227661133,0.12981903553009033,0.37162160873413086,0.6785261034965515,0.25083422660827637,0.19241982698440552,0.5489072203636169,0.9679954051971436,0.8701809644699097,0.03200458735227585,0.15816256403923035
train,active_promoters_vs_inactive_promoters,MCF-7,4,0.040024316634613866,0.9975220561027527,0.9866234064102173,0.9938571453094482,0.9998944401741028,0.9991674423217773,0.9902270436286926,0.9928671717643738,0.9991109371185303,0.013376610353589058,0.0008890546159818769,0.9888168573379517
test,active_promoters_vs_inactive_promoters,MCF-7,4,0.622797094191177,0.8557841777801514,0.11526357382535934,0.3167567551136017,0.6667394638061523,0.23460303246974945,0.16902220249176025,0.5395073294639587,0.9637510776519775,0.8847364187240601,0.03624892607331276,0.12530407309532166
train,active_promoters_vs_inactive_promoters,MCF-7,5,0.04762126754719419,0.9951441884040833,0.9727550148963928,0.9889011383056641,0.9996728301048279,0.9972397089004517,0.9807615876197815,0.985581636428833,0.998408317565918,0.02724500745534897,0.0015916945412755013,0.9780267477035522
test,active_promoters_vs_inactive_promoters,MCF-7,5,0.6268374219159537,0.8541823029518127,0.12745869159698486,0.3179587721824646,0.6743256449699402,0.24121823906898499,0.18197135627269745,0.5437982082366943,0.960137665271759,0.8725413084030151,0.03986234590411186,0.13267876207828522
train,active_promoters_vs_inactive_promoters,MCF-7,6,0.05665414810133056,0.9942430853843689,0.9708861708641052,0.98365718126297,0.9994909167289734,0.9956333637237549,0.9772299528121948,0.9842672348022461,0.997648298740387,0.029113799333572388,0.0023516928777098656,0.9739623665809631
test,active_promoters_vs_inactive_promoters,MCF-7,6,0.6271263794808448,0.8540821671485901,0.12195122241973877,0.31218528747558594,0.6703569889068604,0.2319774627685547,0.17538896203041077,0.5413885712623596,0.9608259201049805,0.8780487775802612,0.03917407616972923,0.1269231140613556
train,active_promoters_vs_inactive_promoters,MCF-7,7,0.06406719201860336,0.9936173558235168,0.9797383546829224,0.9703847765922546,0.9993754029273987,0.9939928650856018,0.9750391244888306,0.9876895546913147,0.995640754699707,0.020261630415916443,0.004359235521405935,0.9713948965072632
test,active_promoters_vs_inactive_promoters,MCF-7,7,0.5685724876349485,0.8472743630409241,0.16404405236244202,0.3104988932609558,0.6779695749282837,0.23587357997894287,0.21467182040214539,0.5554662346839905,0.9468884468078613,0.8359559178352356,0.05311155691742897,0.14762724936008453
train,active_promoters_vs_inactive_promoters,MCF-7,8,0.06032587822300557,0.9900004863739014,0.9394118189811707,0.9811999201774597,0.9989750981330872,0.991091251373291,0.9598512649536133,0.9683938026428223,0.9973758459091187,0.06058817729353905,0.002624145010486245,0.9544382095336914
test,active_promoters_vs_inactive_promoters,MCF-7,8,0.6434391344649882,0.8577364087104797,0.1070023626089096,0.3222748935222626,0.6636204719543457,0.23196616768836975,0.16066154837608337,0.5370973944664001,0.9671924114227295,0.8929976224899292,0.032807569950819016,0.12291628122329712
train,active_promoters_vs_inactive_promoters,MCF-7,9,0.061688120836933584,0.995945155620575,0.995868980884552,0.9729028344154358,0.9996490478515625,0.996717631816864,0.9842519760131836,0.9959126114845276,0.9959562420845032,0.004131012130528688,0.0040437644347548485,0.9820133447647095
