run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,0,0.019270520203398787,0.9981828331947327,0.9698126316070557,0.9982143044471741,0.9999305605888367,0.997940719127655,0.9838085174560547,0.984853982925415,0.9998952746391296,0.030187370255589485,0.00010472081339685246,0.982961118221283
test,active_enhancers_vs_inactive_enhancers,A549,0,0.5316237470507622,0.9384530186653137,0.01803051307797432,0.1547619104385376,0.5191017985343933,0.06537258625030518,0.03229813650250435,0.5060410499572754,0.9940516352653503,0.9819694757461548,0.005948391277343035,0.034489043056964874
train,active_enhancers_vs_inactive_enhancers,A549,1,0.007698712529464051,0.9998222589492798,0.9972241520881653,0.9996521472930908,0.9999998807907104,0.9999977946281433,0.998436689376831,0.9986016154289246,0.9999790787696838,0.0027758500073105097,2.0944162315572612e-05,0.9983434081077576
test,active_enhancers_vs_inactive_enhancers,A549,1,0.6263383632898331,0.9371889233589172,0.013869625516235828,0.10638298094272614,0.5315345525741577,0.0683416947722435,0.024539876729249954,0.5034160614013672,0.9929624795913696,0.9861303567886353,0.007037533447146416,0.018443362787365913
train,active_enhancers_vs_inactive_enhancers,A549,2,0.005259959058920768,0.9997629523277283,0.9958361983299255,1.0,1.0,0.9999991059303284,0.9979137778282166,0.9979181289672852,1.0,0.004163775127381086,0.0,0.9977906346321106
test,active_enhancers_vs_inactive_enhancers,A549,2,0.7930829966068268,0.9395591616630554,0.009708737954497337,0.12068965286016464,0.5168205499649048,0.06366811692714691,0.017971757799386978,0.5027179718017578,0.9957272410392761,0.9902912378311157,0.004272788297384977,0.01865479163825512
train,active_enhancers_vs_inactive_enhancers,A549,3,0.004487791728355329,0.9999604821205139,0.9993060231208801,1.0,0.9999999403953552,1.0,0.9996529221534729,0.9996529817581177,1.0,0.0006939625018276274,0.0,0.9996320009231567
test,active_enhancers_vs_inactive_enhancers,A549,3,0.8398186951875687,0.9384530186653137,0.005547850392758846,0.06060606241226196,0.5148826241493225,0.061876412481069565,0.010165183804929256,0.500176727771759,0.994805634021759,0.994452178478241,0.005194370169192553,0.0011375227477401495
train,active_enhancers_vs_inactive_enhancers,A549,4,0.006084554629974218,0.9998617172241211,0.9975711107254028,1.0,0.9999999403953552,0.9999991655349731,0.998784065246582,0.9987855553627014,1.0,0.0024288687855005264,0.0,0.9987115859985352
test,active_enhancers_vs_inactive_enhancers,A549,4,0.6448011720180511,0.9378999471664429,0.008321775123476982,0.07792207598686218,0.5168808102607727,0.06282135099172592,0.015037594363093376,0.501186728477478,0.9940516352653503,0.9916782379150391,0.005948391277343035,0.007074233144521713
