run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,H1,0,0.0063884785478802945,0.9998815059661865,0.9975308775901794,1.0,0.9999995827674866,0.9999903440475464,0.998763918876648,0.9987654685974121,1.0,0.0024691359139978886,0.0,0.9987025260925293
test,active_enhancers_vs_inactive_enhancers,H1,0,0.5536528465151787,0.9476179480552673,0.024671053513884544,0.1764705926179886,0.5605883002281189,0.07816798985004425,0.043290045112371445,0.5094307065010071,0.9941903948783875,0.9753289222717285,0.0058096107095479965,0.04938448593020439
train,active_enhancers_vs_inactive_enhancers,H1,1,0.005852243722230667,0.9997432231903076,0.9946501851081848,1.0,0.9999996423721313,0.9999946355819702,0.997317910194397,0.99732506275177,1.0,0.005349794402718544,0.0,0.997187077999115
test,active_enhancers_vs_inactive_enhancers,H1,1,0.5902902162075043,0.9477759599685669,0.03947368264198303,0.23762376606464386,0.5514404773712158,0.08115552365779877,0.06770098954439163,0.5165415406227112,0.9936094284057617,0.9605262875556946,0.0063905720598995686,0.07951467484235764
train,active_enhancers_vs_inactive_enhancers,H1,2,0.010576116480873992,0.9991506934165955,0.9860082268714905,0.9962577819824219,0.9999567866325378,0.9984063506126404,0.9911065101623535,0.9929107427597046,0.9998132586479187,0.013991769403219223,0.0001867297396529466,0.9906752109527588
test,active_enhancers_vs_inactive_enhancers,H1,2,0.5084984567761421,0.9479339718818665,0.024671053513884544,0.18518517911434174,0.5579608678817749,0.0759657695889473,0.04354136437177658,0.5095967054367065,0.9945223927497864,0.9753289222717285,0.005477632861584425,0.05147138610482216
train,active_enhancers_vs_inactive_enhancers,H1,3,0.006086128033612939,0.9997629523277283,0.9950617551803589,1.0,0.9999998211860657,0.9999956488609314,0.9975247383117676,0.9975308775901794,1.0,0.004938271827995777,0.0,0.9974036812782288
test,active_enhancers_vs_inactive_enhancers,H1,3,0.579186985194683,0.9491190910339355,0.01809210516512394,0.18965516984462738,0.5592212677001953,0.07772570848464966,0.03303303197026253,0.5070956945419312,0.9960992336273193,0.9819079041481018,0.0039007386658340693,0.044933419674634933
train,active_enhancers_vs_inactive_enhancers,H1,4,0.00817760298113254,0.9996049404144287,0.9921810626983643,0.9995853900909424,0.9999986290931702,0.9999723434448242,0.9958694577217102,0.9960801601409912,0.9999792575836182,0.007818929851055145,2.0747749658767134e-05,0.9956696033477783
test,active_enhancers_vs_inactive_enhancers,H1,4,0.5490556696057319,0.9495931267738342,0.037828948348760605,0.30263158679008484,0.5533280372619629,0.08216462284326553,0.06725145876407623,0.5167151093482971,0.9956012964248657,0.9621710777282715,0.004398705437779427,0.09253423660993576
train,active_enhancers_vs_inactive_enhancers,H1,5,0.005210694819312505,0.9999012351036072,0.9979423880577087,1.0,0.9999998807907104,0.9999979734420776,0.9989701509475708,0.9989712238311768,1.0,0.002057613106444478,0.0,0.9989188313484192
test,active_enhancers_vs_inactive_enhancers,H1,5,0.6142917054891587,0.947222888469696,0.02302631549537182,0.15909090638160706,0.5602595210075378,0.07395020127296448,0.04022988677024841,0.5084423422813416,0.9938583970069885,0.9769737124443054,0.006141588557511568,0.043453991413116455
train,active_enhancers_vs_inactive_enhancers,H1,6,0.0047149165049007145,0.9999604821205139,0.9995884895324707,0.9995884895324707,1.0,0.999999463558197,0.9995884895324707,0.9997838735580444,0.9999792575836182,0.0004115226329304278,2.0747749658767134e-05,0.9995677471160889
test,active_enhancers_vs_inactive_enhancers,H1,6,0.59688012778759,0.9481709599494934,0.02631578966975212,0.20000000298023224,0.5578097105026245,0.07792004197835922,0.04651162773370743,0.5105020403862,0.9946883320808411,0.9736841917037964,0.005311644170433283,0.056675948202610016
train,active_enhancers_vs_inactive_enhancers,H1,7,0.005545730001735266,0.9999012351036072,0.9987654089927673,0.9991766214370728,0.999999463558197,0.9999905228614807,0.9989709854125977,0.9993619918823242,0.9999585151672363,0.0012345679569989443,4.149549931753427e-05,0.9989191293716431
test,active_enhancers_vs_inactive_enhancers,H1,7,0.5810055482387543,0.9436675310134888,0.03947368264198303,0.1568627506494522,0.5552644729614258,0.07510159909725189,0.06307490170001984,0.5143836736679077,0.9892936944961548,0.9605262875556946,0.01070628222078085,0.05629343166947365
train,active_enhancers_vs_inactive_enhancers,H1,8,0.008561772937566568,0.9995852112770081,0.9921810626983643,0.9991711378097534,0.9999977946281433,0.9999573230743408,0.9956638216972351,0.9960697889328003,0.9999585151672363,0.007818929851055145,4.149549931753427e-05,0.9954528212547302
test,active_enhancers_vs_inactive_enhancers,H1,8,0.5664452064037323,0.9473809003829956,0.037828948348760605,0.2211538404226303,0.5523716807365417,0.07511797547340393,0.06460674107074738,0.5155531764030457,0.9932774305343628,0.9621710777282715,0.006722549442201853,0.07368626445531845
train,active_enhancers_vs_inactive_enhancers,H1,9,0.004206666572376935,0.9999802708625793,1.0,0.999588668346405,0.9999874234199524,0.9994872808456421,0.9997943043708801,0.9999896287918091,0.9999792575836182,0.0,2.0747749658767134e-05,0.999783992767334
test,active_enhancers_vs_inactive_enhancers,H1,9,0.6239752405881882,0.9482499957084656,0.02631578966975212,0.20253165066242218,0.5473964214324951,0.07416722178459167,0.046579331159591675,0.5105435848236084,0.9947713613510132,0.9736841917037964,0.005228649824857712,0.05725661292672157
train,active_promoters_vs_inactive_promoters,H1,0,0.08959292451413675,0.9869468212127686,0.9946544170379639,0.9149413108825684,0.9991676807403564,0.992792010307312,0.9531341195106506,0.9902071356773376,0.9857598543167114,0.005345587618649006,0.014240117743611336,0.9466802477836609
test,active_promoters_vs_inactive_promoters,H1,0,0.538601350557955,0.806477427482605,0.254313588142395,0.26525822281837463,0.6738948225975037,0.229373037815094,0.259670615196228,0.5729138255119324,0.8915140628814697,0.745686411857605,0.10848593711853027,0.14846158027648926
train,active_promoters_vs_inactive_promoters,H1,1,0.07024436783247863,0.9905762076377869,0.9522648453712463,0.9765339493751526,0.9990292191505432,0.9927307367324829,0.9642466902732849,0.9743704795837402,0.9964760541915894,0.04773515835404396,0.0035239236894994974,0.9589211940765381
test,active_promoters_vs_inactive_promoters,H1,1,0.5742534655558912,0.8469740152359009,0.11440359801054001,0.3046953082084656,0.6550819873809814,0.2271123230457306,0.16634851694107056,0.5370989441871643,0.9597943425178528,0.8855963945388794,0.04020565003156662,0.11565480381250381
train,active_promoters_vs_inactive_promoters,H1,2,0.04127545535754853,0.9950690865516663,0.9666135311126709,0.996326744556427,0.9998950958251953,0.9992865324020386,0.981245219707489,0.9830323457717896,0.999451220035553,0.0333864763379097,0.0005488077877089381,0.9785560369491577
test,active_promoters_vs_inactive_promoters,H1,2,0.6370507346678383,0.8545327186584473,0.09864966571331024,0.34334203600883484,0.6632083654403687,0.24185685813426971,0.1532634049654007,0.5347964763641357,0.9709433317184448,0.9013503193855286,0.029056668281555176,0.12324443459510803
train,active_promoters_vs_inactive_promoters,H1,3,0.052075514004539,0.9967836141586304,0.993904173374176,0.9822057485580444,0.999774694442749,0.9981153011322021,0.9880203008651733,0.99556565284729,0.9972270727157593,0.006095845252275467,0.002772923558950424,0.9861859083175659
test,active_promoters_vs_inactive_promoters,H1,3,0.6109915522834922,0.8362616896629333,0.1571642905473709,0.2903672754764557,0.6646456718444824,0.23028934001922607,0.20394256711006165,0.5490055680274963,0.940846860408783,0.8428357243537903,0.05915313959121704,0.1287504881620407
train,active_promoters_vs_inactive_promoters,H1,4,0.07430939504894586,0.9931542873382568,0.9817124605178833,0.9674676656723022,0.9992765784263611,0.9945647120475769,0.9745380282402039,0.9883143901824951,0.9949163198471069,0.0182875357568264,0.005083693191409111,0.9706183075904846
test,active_promoters_vs_inactive_promoters,H1,4,0.5327357099026064,0.8369625210762024,0.16879220306873322,0.3018108606338501,0.6749168634414673,0.2379705160856247,0.21650227904319763,0.5543285012245178,0.9398648142814636,0.831207811832428,0.06013517454266548,0.14060108363628387
train,active_promoters_vs_inactive_promoters,H1,5,0.05650769690640818,0.9950190186500549,0.9894025921821594,0.9736963510513306,0.9996069669723511,0.9963089227676392,0.9814866781234741,0.9926432371139526,0.9958839416503906,0.010597392916679382,0.004116058349609375,0.9786511063575745
test,active_promoters_vs_inactive_promoters,H1,5,0.6022848758516433,0.8335085511207581,0.18229557573795319,0.2977941036224365,0.672734797000885,0.2382557988166809,0.226151704788208,0.5580474734306335,0.9337993264198303,0.817704439163208,0.06620068103075027,0.14414027333259583
train,active_promoters_vs_inactive_promoters,H1,6,0.05074762074520794,0.99603271484375,0.9798368215560913,0.990331768989563,0.999810516834259,0.9986187219619751,0.9850563406944275,0.9891818761825562,0.9985268712043762,0.02016318030655384,0.0014731156406924129,0.9827876687049866
test,active_promoters_vs_inactive_promoters,H1,6,0.6054480910489831,0.850928544998169,0.12603150308132172,0.3414634168148041,0.6687235832214355,0.2450888603925705,0.18410958349704742,0.544299304485321,0.962567150592804,0.8739684820175171,0.037432845681905746,0.13922716677188873
