run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,0,0.3361213248365761,71,0,7,6,1,1,0.4292225996301085,128,2,8,4,1,1,0.3511628561937658,3,64,0.11948668041939214,0,0,0.4614206936323281,0.9430750012397766,0.0,0.0,0.6162989139556885,0.10955917835235596,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,0,0.3361213248365761,71,0,7,6,1,1,0.4292225996301085,128,2,8,4,1,1,0.3511628561937658,3,64,0.11948668041939214,0,0,0.4659193277359009,0.9430354833602904,0.0,0.0,0.5826122164726257,0.0905081257224083,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,0,0.3361213248365761,71,0,7,6,1,1,0.4292225996301085,128,2,8,4,1,1,0.3511628561937658,3,64,0.11948668041939214,0,0,0.4609382727985862,0.943064510822296,0.0,0.0,0.6159353852272034,0.11096714437007904,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,0,0.3361213248365761,71,0,7,6,1,1,0.4292225996301085,128,2,8,4,1,1,0.3511628561937658,3,64,0.11948668041939214,0,0,0.4613591514527798,0.9431167244911194,0.0,0.0,0.6177799701690674,0.1057734563946724,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,1,0.4087756366301255,113,0,7,4,2,2,0.23311414979019646,85,1,5,2,2,1,0.2257185909320795,0,28,0.059191147008278426,0,56,0.21540231310357952,0.9430750012397766,0.0,0.0,0.6711485385894775,0.1344234198331833,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,1,0.4087756366301255,113,0,7,4,2,2,0.23311414979019646,85,1,5,2,2,1,0.2257185909320795,0,28,0.059191147008278426,0,56,0.22515866190195086,0.9430354833602904,0.0,0.0,0.5728667378425598,0.08643385022878647,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,1,0.4087756366301255,113,0,7,4,2,2,0.23311414979019646,85,1,5,2,2,1,0.2257185909320795,0,28,0.059191147008278426,0,56,0.2151767651802339,0.943064510822296,0.0,0.0,0.6693442463874817,0.1341770589351654,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,1,0.4087756366301255,113,0,7,4,2,2,0.23311414979019646,85,1,5,2,2,1,0.2257185909320795,0,28,0.059191147008278426,0,56,0.21444989405572412,0.9431167244911194,0.0,0.0,0.6784403324127197,0.13554425537586212,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,2,0.16113887678277375,42,0,4,2,2,1,0.2887787980441046,99,1,7,4,1,1,0.1330717465295918,0,0,0.33943789584249096,0,64,0.22578651638645114,0.9430750012397766,0.0,0.0,0.6257252097129822,0.11125202476978302,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,2,0.16113887678277375,42,0,4,2,2,1,0.2887787980441046,99,1,7,4,1,1,0.1330717465295918,0,0,0.33943789584249096,0,64,0.22660143852233885,0.9430354833602904,0.0,0.0,0.6088953614234924,0.10372188687324524,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,2,0.16113887678277375,42,0,4,2,2,1,0.2887787980441046,99,1,7,4,1,1,0.1330717465295918,0,0,0.33943789584249096,0,64,0.2253245968113905,0.943064510822296,0.0,0.0,0.6241240501403809,0.11027077585458757,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,2,0.16113887678277375,42,0,4,2,2,1,0.2887787980441046,99,1,7,4,1,1,0.1330717465295918,0,0,0.33943789584249096,0,64,0.22491696402430533,0.9431167244911194,0.0,0.0,0.6321149468421936,0.1151876151561737,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.2085284837944941,0.943114459514618,0.0006939625018276273,1.0,0.73698490858078,0.18384358286857605,0.0013869625981897116,0.5003469586372375,1.0,0.99930602312088,0.0,0.02558289654552937
test,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.2327988201379776,0.9429564476013184,0.0,0.0,0.5525723695755005,0.07106702029705048,0.0,0.4999580979347229,0.9999161958694458,1.0,8.378016354981808e-05,-0.0021846909075975422
subtrain,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.20854486384481755,0.9431139230728148,0.0008673027041368186,1.0,0.7329244017601013,0.1798492968082428,0.001733102253638208,0.5004336237907411,1.0,0.9991326928138732,0.0,0.028600048273801807
valid,active_enhancers_vs_inactive_enhancers,A549,3,0.15287494118018002,71,2,8,2,2,1,0.029601638320804174,71,0,5,7,2,1,0.21157796318210215,0,35,0.10908620250308416,0,14,0.20591123700141906,0.9431167244911194,0.0,0.0,0.7530006170272827,0.2016400396823883,0.0,0.5,1.0,1.0,0.0,0.0
