run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,0,0.019270520203398787,0.9981828331947328,0.9698126316070556,0.998214304447174,0.9999305605888368,0.997940719127655,0.9838085174560548,0.984853982925415,0.9998952746391296,0.03018737025558948,0.00010472081339685246,0.982961118221283
test,active_enhancers_vs_inactive_enhancers,A549,0,0.5316237470507622,0.9384530186653136,0.01803051307797432,0.1547619104385376,0.5191017985343933,0.06537258625030518,0.03229813650250435,0.5060410499572754,0.9940516352653505,0.9819694757461548,0.005948391277343035,0.034489043056964874
train,active_enhancers_vs_inactive_enhancers,A549,1,0.0076987125294640515,0.9998222589492798,0.9972241520881652,0.9996521472930908,0.9999998807907104,0.9999977946281432,0.9984366893768309,0.9986016154289246,0.9999790787696838,0.0027758500073105092,2.094416231557261e-05,0.9983434081077576
test,active_enhancers_vs_inactive_enhancers,A549,1,0.6263383632898331,0.9371889233589172,0.013869625516235828,0.10638298094272614,0.5315345525741577,0.0683416947722435,0.024539876729249958,0.5034160614013672,0.9929624795913696,0.9861303567886353,0.007037533447146416,0.018443362787365917
train,active_enhancers_vs_inactive_enhancers,A549,2,0.005259959058920768,0.9997629523277284,0.9958361983299256,1.0,1.0,0.9999991059303284,0.9979137778282166,0.9979181289672852,1.0,0.004163775127381086,0.0,0.9977906346321106
test,active_enhancers_vs_inactive_enhancers,A549,2,0.7930829966068268,0.9395591616630554,0.009708737954497336,0.12068965286016466,0.5168205499649048,0.06366811692714691,0.017971757799386978,0.5027179718017578,0.995727241039276,0.9902912378311156,0.004272788297384977,0.01865479163825512
train,active_enhancers_vs_inactive_enhancers,A549,3,0.004487791728355329,0.999960482120514,0.99930602312088,1.0,0.9999999403953552,1.0,0.9996529221534728,0.9996529817581176,1.0,0.0006939625018276273,0.0,0.9996320009231568
test,active_enhancers_vs_inactive_enhancers,A549,3,0.8398186951875687,0.9384530186653136,0.005547850392758846,0.06060606241226196,0.5148826241493225,0.061876412481069565,0.010165183804929256,0.5001767277717589,0.994805634021759,0.994452178478241,0.0051943701691925534,0.0011375227477401495
train,active_enhancers_vs_inactive_enhancers,A549,4,0.006084554629974218,0.9998617172241212,0.9975711107254028,1.0,0.9999999403953552,0.9999991655349731,0.998784065246582,0.9987855553627014,1.0,0.0024288687855005264,0.0,0.9987115859985352
test,active_enhancers_vs_inactive_enhancers,A549,4,0.6448011720180511,0.9378999471664428,0.008321775123476982,0.07792207598686217,0.5168808102607727,0.06282135099172592,0.015037594363093374,0.5011867284774779,0.9940516352653505,0.9916782379150392,0.005948391277343035,0.007074233144521712
train,active_enhancers_vs_inactive_enhancers,A549,5,0.010401567310151277,0.9993876814842224,0.9892435669898988,1.0,0.999999463558197,0.9999906420707704,0.9945927262306212,0.9946217536926271,1.0,0.0107564190402627,0.0,0.9942845702171326
test,active_enhancers_vs_inactive_enhancers,A549,5,0.5942192101478576,0.9386900663375854,0.011095700785517693,0.11267605423927307,0.5267026424407959,0.06649584323167801,0.020202020183205605,0.5029087662696838,0.9947218298912048,0.9889042973518372,0.005278150085359812,0.018053613603115082
train,active_enhancers_vs_inactive_enhancers,A549,6,0.011123852331586408,0.9988148808479308,0.9791811108589172,1.0,0.9999970197677612,0.9999553561210632,0.9894810914993286,0.9895905256271362,1.0,0.02081887610256672,0.0,0.988914668560028
