run_type,task,cell_line,holdout_number,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,0,0.21765055665464111,0.9430750012397766,0.0,0.0,0.5273933410644531,0.07377634197473526,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,0,0.21884831592440604,0.9430354833602904,0.0,0.0,0.5131449103355408,0.06377442926168443,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,1,0.19562074301218746,0.9430750012397766,0.0,0.0,0.7315305471420288,0.191836416721344,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,1,0.196925930082798,0.9430354833602904,0.0,0.0,0.7266331315040588,0.1832648515701294,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,2,0.20682473623692388,0.9430750012397766,0.0,0.0,0.6869604587554932,0.14119985699653625,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,2,0.2050369358062744,0.9430354833602904,0.0,0.0,0.701816201210022,0.15408718585968018,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,3,0.21278916780996804,0.9430750012397766,0.02012491412460804,0.5,0.5943499803543091,0.13822300732135773,0.03869246318936348,0.5094550848007202,0.9987852573394777,0.9798750877380372,0.001214761403389275,0.09163982421159744
test,active_enhancers_vs_inactive_enhancers,A549,3,0.2113848000764847,0.942877471446991,0.009708737954497336,0.4375,0.6034346222877502,0.1466473489999771,0.018995929509401318,0.5044773817062378,0.9992460012435912,0.9902912378311156,0.0007540214573964478,0.05841147899627685
train,active_enhancers_vs_inactive_enhancers,A549,4,0.19897699423811646,0.9430750012397766,0.0,0.0,0.7110641598701477,0.1825938820838928,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,4,0.20096319571137428,0.9430354833602904,0.0,0.0,0.7007070779800415,0.1855914145708084,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,5,0.2096721287252325,0.9430750012397766,0.0,0.0,0.6765135526657104,0.10494057089090347,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,5,0.21109574019908905,0.9430354833602904,0.0,0.0,0.6768730282783508,0.1096760481595993,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,6,0.20043915487600092,0.9430750012397766,0.0,0.0,0.7069991230964661,0.16897082328796387,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,6,0.2000483091175556,0.9430354833602904,0.0,0.0,0.7023931741714478,0.16729533672332764,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,7,0.19475353302227127,0.9428972005844116,0.006592643912881614,0.4042553305625916,0.72196364402771,0.19910725951194766,0.012973710894584656,0.5030031204223633,0.9994135499000548,0.9934073686599731,0.0005864365375600755,0.0456954725086689
test,active_enhancers_vs_inactive_enhancers,A549,7,0.19458047598600384,0.9430354833602904,0.006934812758117914,0.5,0.7337707281112671,0.1953890472650528,0.013679890893399715,0.5032579302787781,0.9995810985565186,0.9930651783943176,0.0004189008031971753,0.05375000089406967
train,active_enhancers_vs_inactive_enhancers,A549,8,0.19635926981014434,0.9430750012397766,0.0,0.0,0.7163589000701904,0.20474985241889954,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,8,0.19614253252744676,0.9430354833602904,0.0,0.0,0.7093057036399841,0.20563149452209475,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,9,0.21349216858395426,0.9428972005844116,0.004857737571001053,0.3783783912658691,0.5902767777442932,0.13102157413959506,0.0095923263579607,0.5021880269050598,0.9995182752609252,0.9951422810554504,0.0004817157459910959,0.03751953691244125
test,active_enhancers_vs_inactive_enhancers,A549,9,0.21539810985326768,0.9425614476203918,0.0013869625981897116,0.125,0.5843042731285095,0.11224263906478882,0.0027434842195361853,0.5004002451896667,0.9994135499000548,0.9986130595207214,0.000586461101192981,0.007382204290479422
train,active_enhancers_vs_inactive_enhancers,A549,10,0.22558723164327216,0.9430552124977112,0.0,0.0,0.502407968044281,0.059579562395811074,0.0,0.4999895393848419,0.9999790787696838,1.0,2.094416231557261e-05,-0.0010919114574789999
test,active_enhancers_vs_inactive_enhancers,A549,10,0.22569805055856704,0.9430354833602904,0.0,0.0,0.5019343495368958,0.058386564254760735,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,11,0.2080084691294516,0.9430947303771972,0.00034698125091381366,1.0,0.6747656464576721,0.139531672000885,0.0006937218131497503,0.5001735091209412,1.0,0.9996530413627625,0.0,0.01808966137468815
test,active_enhancers_vs_inactive_enhancers,A549,11,0.2058479443192482,0.9430354833602904,0.0,0.0,0.6889544129371643,0.1580125093460083,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,12,0.20938857787787316,0.9427589774131776,0.017002081498503685,0.429824560880661,0.6620131731033325,0.17063690721988678,0.032710280269384384,0.5078203678131104,0.99863862991333,0.9829978942871094,0.0013613705523312092,0.07645636796951294
test,active_enhancers_vs_inactive_enhancers,A549,12,0.2086678159236908,0.9421663880348206,0.011095700785517693,0.2962962985038757,0.6724045276641846,0.18046920001506805,0.02139037474989891,0.5047519207000732,0.9984081983566284,0.9889042973518372,0.0015918230637907982,0.04774350672960282
train,active_enhancers_vs_inactive_enhancers,A549,13,0.22282300445467532,0.9430750012397766,0.0,0.0,0.5060170292854309,0.06194126605987549,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,13,0.22302060395479206,0.9430354833602904,0.0,0.0,0.5079458355903625,0.06336801499128343,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,14,0.19575144659088115,0.9429762363433838,0.051006246358156204,0.4916388094425202,0.7017655372619629,0.21320874989032745,0.09242376685142516,0.5239113569259644,0.9968165159225464,0.9489937424659728,0.0031835127156227827,0.14461226761341095
test,active_enhancers_vs_inactive_enhancers,A549,14,0.19588650345802308,0.9438255429267884,0.04854368790984154,0.5833333134651184,0.6958950757980347,0.22836604714393616,0.0896286815404892,0.5232245922088623,0.9979054927825928,0.9514563083648682,0.0020945039577782154,0.15673498809337616
train,active_enhancers_vs_inactive_enhancers,A549,15,0.21604551721100854,0.9430156946182252,0.002081887563690543,0.4000000059604645,0.5659977793693542,0.10780677944421768,0.0041422159411013135,0.5009467005729675,0.9998115301132202,0.9979181289672852,0.00018849746265914288,0.02549053356051445
