run_type,task,cell_line,holdout_number,Conv2DRectangularMetaLayer_0_dropout_rate,Conv2DRectangularMetaLayer_0_filters,Conv2DRectangularMetaLayer_0_layers,Conv2DRectangularMetaLayer_0_x_kernel_size,Conv2DRectangularMetaLayer_0_x_pool_size,Conv2DRectangularMetaLayer_0_y_kernel_size,Conv2DRectangularMetaLayer_0_y_pool_size,Conv2DRectangularMetaLayer_1_dropout_rate,Conv2DRectangularMetaLayer_1_filters,Conv2DRectangularMetaLayer_1_layers,Conv2DRectangularMetaLayer_1_x_kernel_size,Conv2DRectangularMetaLayer_1_x_pool_size,Conv2DRectangularMetaLayer_1_y_kernel_size,Conv2DRectangularMetaLayer_1_y_pool_size,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,0,0.24113397969013692,85,1,4,2,1,1,0.24327166189871252,85,1,6,4,2,1,0.04881794825735223,0,56,0.19008534541205654,0,14,0.2227518218334275,0.9430750012397766,0.0,0.0,0.5987439155578613,0.10497808456420898,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,0,0.24113397969013692,85,1,4,2,1,1,0.24327166189871252,85,1,6,4,2,1,0.04881794825735223,0,56,0.19008534541205654,0,14,0.2234576913714409,0.9430354833602905,0.0,0.0,0.5888659954071045,0.09853841364383698,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,0,0.24113397969013692,85,1,4,2,1,1,0.24327166189871252,85,1,6,4,2,1,0.04881794825735223,0,56,0.19008534541205654,0,14,0.22244607943034023,0.9430645108222961,0.0,0.0,0.5945748686790466,0.10432437062263489,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,0,0.24113397969013692,85,1,4,2,1,1,0.24327166189871252,85,1,6,4,2,1,0.04881794825735223,0,56,0.19008534541205654,0,14,0.22199282199144363,0.9431167244911194,0.0,0.0,0.6152922511100769,0.10751976072788239,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,1,0.2846319189656926,71,0,3,5,2,1,0.11444640061736971,85,1,3,2,2,1,0.20438758969771414,0,56,0.05683308568396796,0,7,0.21137764718797472,0.9430750012397766,0.0,0.0,0.6816385984420776,0.14072942733764648,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,1,0.2846319189656926,71,0,3,5,2,1,0.11444640061736971,85,1,3,2,2,1,0.20438758969771414,0,56,0.05683308568396796,0,7,0.2240111869573593,0.9430354833602905,0.0,0.0,0.5669556856155396,0.08632849156856537,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,1,0.2846319189656926,71,0,3,5,2,1,0.11444640061736971,85,1,3,2,2,1,0.20438758969771414,0,56,0.05683308568396796,0,7,0.21128401553855752,0.9430645108222961,0.0,0.0,0.6787976026535034,0.1389460563659668,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,1,0.2846319189656926,71,0,3,5,2,1,0.11444640061736971,85,1,3,2,2,1,0.20438758969771414,0,56,0.05683308568396796,0,7,0.20974453259259462,0.9431167244911194,0.0,0.0,0.6930304765701294,0.14741460978984833,0.0,0.5,1.0,1.0,0.0,0.0
train,active_enhancers_vs_inactive_enhancers,A549,2,0.4417029905224787,99,2,4,5,2,1,0.23739330022554328,56,0,3,1,2,1,0.01861359666533359,0,42,0.04027145913755828,0,0,0.22292902113662827,0.9430750012397766,0.0,0.0,0.6165831089019775,0.10686323046684265,0.0,0.5,1.0,1.0,0.0,0.0
test,active_enhancers_vs_inactive_enhancers,A549,2,0.4417029905224787,99,2,4,5,2,1,0.23739330022554328,56,0,3,1,2,1,0.01861359666533359,0,42,0.04027145913755828,0,0,0.2228657302260399,0.9430354833602905,0.0,0.0,0.605603814125061,0.10480451583862305,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_enhancers_vs_inactive_enhancers,A549,2,0.4417029905224787,99,2,4,5,2,1,0.23739330022554328,56,0,3,1,2,1,0.01861359666533359,0,42,0.04027145913755828,0,0,0.22252699020523695,0.9430645108222961,0.0,0.0,0.6154410243034363,0.10597992688417435,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_enhancers_vs_inactive_enhancers,A549,2,0.4417029905224787,99,2,4,5,2,1,0.23739330022554328,56,0,3,1,2,1,0.01861359666533359,0,42,0.04027145913755828,0,0,0.22235761024057865,0.9431167244911194,0.0,0.0,0.6211857199668884,0.11103995144367218,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,0,0.04711565736890891,99,2,6,6,2,1,0.3066475940506831,85,0,6,1,1,2,0.312381833049251,1,49,0.3875504995350556,1,42,0.32894969186462913,0.9310422539710999,0.513346254825592,0.7383944392204285,0.9385710954666138,0.7088367342948914,0.6056398749351501,0.7462142705917358,0.9790823459625244,0.48665371537208557,0.02091764099895954,0.580498218536377
test,active_promoters_vs_inactive_promoters,A549,0,0.04711565736890891,99,2,6,6,2,1,0.3066475940506831,85,0,6,1,1,2,0.312381833049251,1,49,0.3875504995350556,1,42,0.4589142697521403,0.8749061226844788,0.1665048599243164,0.30488887429237366,0.7430671453475952,0.2362760305404663,0.2153846174478531,0.5614296197891235,0.9563543200492859,0.8334951400756836,0.043645698577165604,0.16207604110240936
subtrain,active_promoters_vs_inactive_promoters,A549,0,0.04711565736890891,99,2,6,6,2,1,0.3066475940506831,85,0,6,1,1,2,0.312381833049251,1,49,0.3875504995350556,1,42,0.3280031304359436,0.9318242073059082,0.5154685974121094,0.7450679540634155,0.9400142431259155,0.7145639061927795,0.6093581914901733,0.7475910782814026,0.9797135591506958,0.4845314025878906,0.02028641663491726,0.5850573182106018
valid,active_promoters_vs_inactive_promoters,A549,0,0.04711565736890891,99,2,6,6,2,1,0.3066475940506831,85,0,6,1,1,2,0.312381833049251,1,49,0.3875504995350556,1,42,0.3335601484018659,0.9279143810272217,0.5048543810844421,0.7123287916183472,0.9328151941299438,0.6866506338119507,0.5909090638160706,0.7407059669494629,0.9765576124191284,0.49514561891555786,0.023442406207323074,0.562498152256012
train,active_promoters_vs_inactive_promoters,A549,1,0.39793749755412783,99,2,4,5,2,1,0.1345577067881278,56,0,5,8,1,1,0.09803900315904036,3,42,0.2620174754873815,0,28,0.3527448452509249,0.8968512415885925,0.0,0.0,0.7892216444015503,0.2906319499015808,0.0,0.5,1.0,1.0,0.0,0.0
test,active_promoters_vs_inactive_promoters,A549,1,0.39793749755412783,99,2,4,5,2,1,0.1345577067881278,56,0,5,8,1,1,0.09803900315904036,3,42,0.2620174754873815,0,28,0.35819871497305134,0.8968814015388489,0.0,0.0,0.7631718516349792,0.26428890228271484,0.0,0.5,1.0,1.0,0.0,0.0
subtrain,active_promoters_vs_inactive_promoters,A549,1,0.39793749755412783,99,2,4,5,2,1,0.1345577067881278,56,0,5,8,1,1,0.09803900315904036,3,42,0.2620174754873815,0,28,0.3521072263717651,0.8968446254730225,0.0,0.0,0.7893360257148743,0.29227548837661743,0.0,0.5,1.0,1.0,0.0,0.0
valid,active_promoters_vs_inactive_promoters,A549,1,0.39793749755412783,99,2,4,5,2,1,0.1345577067881278,56,0,5,8,1,1,0.09803900315904036,3,42,0.2620174754873815,0,28,0.35243787841191365,0.8968775272369385,0.0,0.0,0.7887908816337585,0.284438818693161,0.0,0.5,1.0,1.0,0.0,0.0
train,active_promoters_vs_inactive_promoters,A549,2,0.32452939284834414,42,2,6,5,2,1,0.49893247613345626,99,0,5,2,2,1,0.08923943245356826,1,7,0.41648548396904606,0,7,0.3559624451798753,0.8977773189544678,0.025843242183327675,0.6051136255264282,0.796355128288269,0.32636767625808716,0.04956946521997452,0.5119518041610718,0.9980603456497192,0.9741567373275757,0.0019396612187847495,0.10978091508150101
test,active_promoters_vs_inactive_promoters,A549,2,0.32452939284834414,42,2,6,5,2,1,0.49893247613345626,99,0,5,2,2,1,0.08923943245356826,1,7,0.41648548396904606,0,7,0.3671558495563797,0.896781325340271,0.016019416972994804,0.4852941036224365,0.7447859644889832,0.24270404875278473,0.03101503849029541,0.5070329904556274,0.9980465769767761,0.9839805960655212,0.0019534521270543337,0.07344405353069305
subtrain,active_promoters_vs_inactive_promoters,A549,2,0.32452939284834414,42,2,6,5,2,1,0.49893247613345626,99,0,5,2,2,1,0.08923943245356826,1,7,0.41648548396904606,0,7,0.3558137035369873,0.8975329399108887,0.02380952425301075,0.5814814567565918,0.7969927787780762,0.3255510926246643,0.04574592038989067,0.5109192132949829,0.9980289340019226,0.976190447807312,0.001971079269424081,0.10242171585559845
valid,active_promoters_vs_inactive_promoters,A549,2,0.32452939284834414,42,2,6,5,2,1,0.49893247613345626,99,0,5,2,2,1,0.08923943245356826,1,7,0.41648548396904606,0,7,0.3554310987866114,0.8987547755241394,0.033980581909418106,0.6829268336296082,0.7939106225967407,0.3308998644351959,0.0647398829460144,0.516083300113678,0.9981859922409058,0.9660193920135498,0.0018139956519007683,0.13691791892051697
train,active_enhancers_vs_active_promoters,A549,0,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.7499898685650392,0.7851492166519165,0.9998786449432373,0.7752587199211121,0.9778575897216797,0.9899121522903442,0.873357355594635,0.5854701995849609,0.17106176912784576,0.00012132977280998603,0.8289382457733154,0.36356157064437866
test,active_enhancers_vs_active_promoters,A549,0,0.31687335914147247,56,0,3,5,2,2,0.09841027724725804,113,1,8,8,2,1,0.3914514079839061,2,14,0.30743738537088866,3,28,0.9788501045920632,0.7795757055282593,0.9980582594871521,0.7714821696281433,0.8845778107643127,0.9436072111129761,0.8702645301818848,0.5766990184783936,0.1553398072719574,0.0019417476141825318,0.844660222530365,0.3362354636192322
