run_type,task,cell_line,holdout_number,DenseRectangularMetaLayer_0_dropout_rate,DenseRectangularMetaLayer_0_layers,DenseRectangularMetaLayer_0_units,DenseRectangularMetaLayer_1_dropout_rate,DenseRectangularMetaLayer_1_layers,DenseRectangularMetaLayer_1_units,DenseRectangularMetaLayer_2_dropout_rate,DenseRectangularMetaLayer_2_layers,DenseRectangularMetaLayer_2_units,DenseRectangularMetaLayer_3_dropout_rate,DenseRectangularMetaLayer_3_layers,DenseRectangularMetaLayer_3_units,loss,accuracy,recall,precision,AUROC,AUPRC,f1_score,balanced_accuracy,specificity,miss_rate,fall_out,mcc
train,active_enhancers_vs_inactive_enhancers,A549,0,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.23285733118201746,0.9445563554763794,0.08049965649843216,0.596401035785675,0.8075581789016724,0.30594301223754883,0.14185264706611633,0.5386057496070862,0.9967117905616759,0.9195003509521484,0.0032882336527109146,0.20488102734088895
test,active_enhancers_vs_inactive_enhancers,A549,0,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.2507482877373695,0.9433515071868896,0.05963939055800437,0.5243902206420898,0.7475726008415222,0.23482832312583926,0.10709837824106216,0.5281859636306763,0.9967325925827026,0.9403606057167052,0.003267426276579499,0.16285431385040286
subtrain,active_enhancers_vs_inactive_enhancers,A549,0,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.2323458903240708,0.9447434544563292,0.08456201106309891,0.6055900454521179,0.8077567219734192,0.3093776106834412,0.14840182662010193,0.5406185388565063,0.9966750741004944,0.9154379963874816,0.0033249554689973593,0.21196290850639346
valid,active_enhancers_vs_inactive_enhancers,A549,0,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.23386129923164845,0.9444005489349364,0.078125,0.5844155550003052,0.8060603737831116,0.2933385074138641,0.13782541453838348,0.5373871326446533,0.996649205684662,0.921875,0.0033507852349430323,0.1993691623210907
train,active_enhancers_vs_inactive_enhancers,A549,1,0.2076740905577894,0,256,0.0005542812646138344,1,227,0.4395111582556699,3,170,0.3121498574462207,3,0,0.44354630600322376,0.9433119893074036,0.0055517000146210185,0.8000000119209291,0.8144283294677734,0.2882423996925354,0.011026877909898758,0.5027339458465576,0.9999161958694458,0.9944483041763306,8.377664926229045e-05,0.0637548640370369
test,active_enhancers_vs_inactive_enhancers,A549,1,0.2076740905577894,0,256,0.0005542812646138344,1,227,0.4395111582556699,3,170,0.3121498574462207,3,0,0.4584160679578781,0.94319349527359,0.004160887561738491,0.75,0.7510762214660645,0.235835924744606,0.008275861851871014,0.5020385384559631,0.9999161958694458,0.9958391189575196,8.378016354981808e-05,0.053164586424827576
subtrain,active_enhancers_vs_inactive_enhancers,A549,1,0.2076740905577894,0,256,0.0005542812646138344,1,227,0.4395111582556699,3,170,0.3121498574462207,3,0,0.4438077777436694,0.9433361291885376,0.005637467373162508,0.8666666746139526,0.8122105002403259,0.2875895500183105,0.0112020680680871,0.5027925968170166,0.9999476671218872,0.9943625330924988,5.2361505368025973e-05,0.06726150959730147
valid,active_enhancers_vs_inactive_enhancers,A549,1,0.2076740905577894,0,256,0.0005542812646138344,1,227,0.4395111582556699,3,170,0.3121498574462207,3,0,0.44260100796818735,0.9432154893875122,0.0034722222480922933,0.6666666865348816,0.8210451602935791,0.2926324307918549,0.0069084628485143185,0.50168377161026,0.9998952746391296,0.9965277910232544,0.00010471203859196976,0.0453217439353466
train,active_enhancers_vs_inactive_enhancers,A549,2,0.2426872617529954,1,170,0.2436466705261343,0,56,0.3650179514035374,0,142,0.17760835343783235,0,227,0.1925101913511753,0.9449514150619508,0.06662040203809738,0.6643598675727844,0.7869069576263428,0.2990049123764038,0.12109744548797607,0.5322943925857544,0.9979684352874756,0.933379590511322,0.0020315838046371932,0.19864223897457126
test,active_enhancers_vs_inactive_enhancers,A549,2,0.2426872617529954,1,170,0.2436466705261343,0,56,0.3650179514035374,0,142,0.17760835343783235,0,227,0.19716815128922466,0.9447736144065856,0.08599168062210083,0.6078431606292725,0.760996401309967,0.2852510213851929,0.15066829323768616,0.5413202047348022,0.9966487884521484,0.9140083193778992,0.003351206425577402,0.2142305374145508
subtrain,active_enhancers_vs_inactive_enhancers,A549,2,0.2426872617529954,1,170,0.2436466705261343,0,56,0.3650179514035374,0,142,0.17760835343783235,0,227,0.19173306240788046,0.9447187781333924,0.06287944316864014,0.6502242088317871,0.7908303737640381,0.29936665296554565,0.11466982960700987,0.5304186344146729,0.9979578852653505,0.93712055683136,0.002042098669335246,0.19050967693328855
valid,active_enhancers_vs_inactive_enhancers,A549,2,0.2426872617529954,1,170,0.2436466705261343,0,56,0.3650179514035374,0,142,0.17760835343783235,0,227,0.19436624236404892,0.945980668067932,0.0711805522441864,0.7735849022865295,0.7733597159385681,0.2997987270355225,0.13036565482616425,0.534961998462677,0.99874347448349,0.9288194179534912,0.0012565444922074676,0.2244511842727661
train,active_enhancers_vs_inactive_enhancers,A549,3,0.1266564368799391,0,199,0.2523817627464152,2,170,0.23751586042679054,2,28,0.365049871888837,0,56,0.20283541858497287,0.9433317780494691,0.04024982824921608,0.5296803712844849,0.7933766841888428,0.2593090534210205,0.074814572930336,0.5190463066101074,0.9978427290916444,0.9597501754760742,0.0021572487894445658,0.1344868391752243
test,active_enhancers_vs_inactive_enhancers,A549,3,0.1266564368799391,0,199,0.2523817627464152,2,170,0.23751586042679054,2,28,0.365049871888837,0,56,0.205821969807148,0.9445366263389589,0.04854368790984154,0.686274528503418,0.7639688849449158,0.2731959223747253,0.0906735733151436,0.5236015915870667,0.9986594915390016,0.9514563083648682,0.0013404826167970894,0.17270097136497498
subtrain,active_enhancers_vs_inactive_enhancers,A549,3,0.1266564368799391,0,199,0.2523817627464152,2,170,0.23751586042679054,2,28,0.365049871888837,0,56,0.20290467353924266,0.9432867765426636,0.03902862221002579,0.5263158082962036,0.7923887372016907,0.2557825744152069,0.07266855239868164,0.5184540152549744,0.9978793859481812,0.9609713554382324,0.002120640827342868,0.13189895451068878
valid,active_enhancers_vs_inactive_enhancers,A549,3,0.1266564368799391,0,199,0.2523817627464152,2,170,0.23751586042679054,2,28,0.365049871888837,0,56,0.2008865743875504,0.943511724472046,0.0381944440305233,0.550000011920929,0.7995242476463318,0.27511075139045715,0.0714285746216774,0.5181547999382019,0.9981151819229126,0.9618055820465088,0.0018848167965188625,0.13407421112060547
train,active_enhancers_vs_inactive_enhancers,A549,4,0.14080992169005765,2,113,0.2407550486719181,2,0,0.18846716242800024,1,142,0.33117449641075986,0,0,0.20778707730950727,0.9436872601509094,0.018043026328086853,0.7123287916183472,0.7935401797294617,0.2876641750335693,0.03519458696246147,0.5088015794754028,0.9995601773262024,0.9819569587707521,0.00043982741772197187,0.10748888552188872
test,active_enhancers_vs_inactive_enhancers,A549,4,0.14080992169005765,2,113,0.2407550486719181,2,0,0.18846716242800024,1,142,0.33117449641075986,0,0,0.21556007385253906,0.9435095191001892,0.019417475908994675,0.6363636255264282,0.7608519792556763,0.25489097833633423,0.03768505901098251,0.5093736052513123,0.9993297457695008,0.9805825352668762,0.0006702413083985447,0.1043122410774231
subtrain,active_enhancers_vs_inactive_enhancers,A549,4,0.14080992169005765,2,113,0.2407550486719181,2,0,0.18846716242800024,1,142,0.33117449641075986,0,0,0.2066821608715837,0.9436571002006532,0.01821335591375828,0.699999988079071,0.7948506474494934,0.2899312973022461,0.03550295904278755,0.5088710784912109,0.9995287656784058,0.9817866683006288,0.00047125353012233967,0.1068936139345169
valid,active_enhancers_vs_inactive_enhancers,A549,4,0.14080992169005765,2,113,0.2407550486719181,2,0,0.18846716242800024,1,142,0.33117449641075986,0,0,0.2092545710504055,0.9438080191612244,0.0173611119389534,0.7692307829856873,0.7872398495674133,0.28024938702583313,0.033955857157707214,0.5085235238075256,0.9996858835220336,0.9826388955116272,0.0003141361230518669,0.1102677658200264
train,active_enhancers_vs_inactive_enhancers,A549,5,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.2320005587405629,0.9437860250473022,0.041984733194112785,0.5873786211013794,0.8032955527305603,0.2940994203090668,0.07836787402629852,0.5201022028923035,0.9982197284698486,0.9580152630805968,0.0017802538350224497,0.14633435010910034
test,active_enhancers_vs_inactive_enhancers,A549,5,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.2428875029087067,0.9435885548591614,0.03606102615594864,0.5777778029441833,0.7630578875541687,0.2451072782278061,0.06788511574268341,0.5172346234321594,0.9984081983566284,0.9639389514923096,0.0015918230637907982,0.13422396779060364
subtrain,active_enhancers_vs_inactive_enhancers,A549,5,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.2319674654014456,0.9438546299934388,0.04553339257836342,0.5898876190185547,0.8033990859985352,0.2902974486351013,0.08454106003046036,0.5218110680580139,0.9980887770652772,0.9544665813446044,0.0019111948786303399,0.15281090140342712
valid,active_enhancers_vs_inactive_enhancers,A549,5,0.1357291167640189,1,199,0.34927292191256665,0,56,0.07972263504304028,0,256,0.15238782444488794,2,227,0.2311141971498728,0.943314254283905,0.0364583320915699,0.5249999761581421,0.8005378842353821,0.3067365884780884,0.06818182021379471,0.5172343850135803,0.9980104565620422,0.9635416865348816,0.0019895287696272135,0.1272769272327423
train,active_enhancers_vs_inactive_enhancers,A549,6,0.08465231418322253,1,56,0.1194272369664057,0,256,0.13973335974526108,0,170,0.4995976139758528,1,113,0.19847012198332584,0.9436280131340028,0.014226231724023819,0.7592592835426331,0.8086462020874023,0.3033028841018677,0.02792915515601635,0.5069769620895386,0.9997277259826659,0.985773742198944,0.00027227410464547575,0.09904951602220537
test,active_enhancers_vs_inactive_enhancers,A549,6,0.08465231418322253,1,56,0.1194272369664057,0,256,0.13973335974526108,0,170,0.4995976139758528,1,113,0.20949960574507714,0.9432724714279176,0.009708737954497336,0.6363636255264282,0.7558460831642151,0.2507440745830536,0.0191256832331419,0.5046868324279785,0.9996649026870728,0.9902912378311156,0.00033512065419927234,0.0737278088927269
subtrain,active_enhancers_vs_inactive_enhancers,A549,6,0.08465231418322253,1,56,0.1194272369664057,0,256,0.13973335974526108,0,170,0.4995976139758528,1,113,0.19719477700737287,0.9435089826583862,0.013443191535770891,0.7045454382896423,0.8121206164360046,0.30521702766418457,0.02638297900557518,0.5065514445304871,0.9996596574783324,0.9865568280220032,0.0003403497685212642,0.09216701984405518
valid,active_enhancers_vs_inactive_enhancers,A549,6,0.08465231418322253,1,56,0.1194272369664057,0,256,0.13973335974526108,0,170,0.4995976139758528,1,113,0.20169052183628086,0.9439067840576172,0.013888888992369177,1.0,0.7960236668586731,0.2980746626853943,0.02739726006984711,0.5069444179534912,1.0,0.9861111044883728,0.0,0.1144954189658165
